LoanID,CustomerID,LoanType,Amount,InterestRate,StartDate,EndDate,Status
87,371,Mortgage,26658.27,7.03,3/16/2024,10/28/2028,Active
88,107,Mortgage,28608.73,5.46,8/14/2023,8/9/2028,Closed
89,860,Personal,20784.49,4.66,12/20/2023,7/31/2026,Active
90,518,Mortgage,44088.61,4.77,12/19/2022,7/30/2028,Closed
91,12,Mortgage,19541.68,6.81,10/6/2023,4/2/2026,Closed
92,875,Mortgage,43886.94,2.46,10/15/2023,1/16/2026,Active
93,320,Personal,19104.78,4.77,7/3/2022,1/6/2028,Closed
94,387,Auto,25675.44,1.64,12/9/2023,3/31/2029,Active
95,694,Business,30242.36,2.44,8/31/2022,7/7/2025,Closed
96,104,Business,49676.79,4.16,10/21/2022,4/18/2030,Active
97,127,Mortgage,28322.87,4.69,8/27/2023,11/7/2026,Closed
98,573,Mortgage,31272.27,6.98,5/6/2023,11/26/2025,Closed
99,907,Auto,13613.17,4.68,12/20/2022,10/15/2029,Closed
100,565,Mortgage,47262.02,6.29,10/28/2023,8/19/2027,Closed
101,919,Personal,10427.48,4,3/27/2023,6/25/2026,Closed
102,553,Business,45978.95,4.25,1/7/2024,9/13/2029,Active
103,397,Mortgage,9957.1,2.8,10/12/2023,4/9/2027,Active
104,433,Business,37637.02,3.99,9/27/2022,12/5/2028,Active
105,328,Business,32135.29,3.32,6/8/2024,1/17/2027,Active
106,544,Business,36515.15,1.55,1/13/2024,8/12/2029,Active
107,456,Personal,46194.96,5.35,9/6/2023,4/29/2028,Closed
108,723,Personal,22501.94,2.26,11/8/2023,2/28/2029,Closed
109,24,Auto,49654.74,1.98,6/17/2024,1/24/2026,Closed
110,499,Mortgage,12511.81,5.9,6/13/2024,10/25/2028,Active
111,732,Mortgage,14901.56,2.5,2/7/2024,3/27/2029,Active
112,861,Business,33764.1,3.83,12/28/2023,1/25/2026,Active
113,277,Business,30115.82,3.15,4/2/2023,8/7/2027,Closed
114,253,Personal,41918.28,4.48,12/18/2022,11/25/2029,Active
115,461,Personal,36398.18,1.73,9/16/2022,9/7/2027,Closed
116,419,Business,7608.26,4.67,1/18/2023,4/3/2026,Active
117,944,Business,26521.83,5.79,5/5/2024,6/15/2030,Closed
118,260,Mortgage,38434.7,3.49,3/20/2023,6/21/2026,Closed
119,302,Business,48555.69,2.33,10/28/2022,11/3/2028,Closed
120,524,Auto,42282.47,3.56,6/3/2023,2/10/2026,Active
121,324,Auto,33535.44,3.3,4/4/2023,9/7/2028,Closed
122,343,Business,20693.13,2.55,3/2/2024,12/22/2025,Active
123,587,Mortgage,49704.82,2.47,9/7/2023,10/18/2027,Closed
124,484,Auto,3139.9,5.5,8/19/2023,6/7/2030,Active
125,322,Auto,6106.46,4.6,5/5/2023,9/12/2025,Closed
126,735,Personal,28297.82,5.53,2/28/2024,8/25/2026,Active
127,243,Personal,40370.76,6.51,9/26/2023,11/16/2028,Closed
128,142,Personal,18549.42,6.79,12/22/2023,11/5/2029,Closed
129,665,Business,10149.08,3.97,10/7/2023,6/25/2028,Closed
130,89,Mortgage,12106.12,3.91,1/31/2024,10/10/2026,Closed
131,276,Mortgage,28418.46,3.37,7/17/2022,2/27/2026,Closed
132,668,Mortgage,35595.63,6.49,7/19/2022,4/10/2027,Active
133,421,Personal,24570.96,5.26,3/25/2024,12/9/2026,Active
134,664,Business,2541.28,5.88,2/20/2023,11/25/2029,Active
135,842,Business,21216.94,3.21,1/4/2024,2/25/2027,Closed
136,652,Mortgage,29688.09,4.1,11/20/2023,3/3/2030,Closed
137,620,Mortgage,28761.76,6.64,7/4/2023,10/14/2025,Active
138,49,Mortgage,22054.79,3.63,11/29/2022,6/12/2027,Closed
139,317,Auto,47195.61,7.11,2/1/2023,1/14/2030,Active
140,40,Mortgage,5708.22,6.81,10/16/2023,1/28/2027,Closed
141,875,Business,7384.36,5.91,11/8/2023,1/4/2028,Closed
142,745,Auto,43247.58,5.4,2/18/2023,12/24/2025,Active
143,824,Mortgage,45655.35,3.39,2/15/2023,3/16/2030,Active
144,349,Business,34639.4,6.45,5/16/2023,7/27/2029,Active
145,512,Personal,8734.45,3.97,2/15/2023,3/22/2028,Closed
146,383,Business,28907.97,2.14,11/7/2023,1/30/2028,Closed
147,61,Business,37799.35,1.89,1/4/2024,4/27/2026,Active
148,834,Business,5567.12,5.51,3/6/2023,12/18/2027,Closed
149,1,Personal,18522.38,7.2,11/5/2022,6/9/2026,Closed
150,277,Personal,8237.05,4.25,4/21/2024,9/5/2025,Closed
151,930,Auto,13014.77,6.49,12/8/2022,2/2/2026,Closed
152,782,Business,17583.15,7.01,7/8/2023,11/13/2027,Closed
153,63,Auto,48684.6,3.21,3/26/2023,4/1/2030,Closed
154,689,Auto,4897.06,7.48,12/6/2022,4/1/2028,Active
155,161,Auto,35354.84,6.76,10/12/2022,4/14/2030,Active
156,735,Business,17824.73,5.1,9/2/2023,12/10/2029,Closed
157,946,Auto,28625.22,5.93,4/8/2024,12/9/2025,Active
158,267,Mortgage,33982.18,6.79,6/14/2024,4/27/2027,Active
159,986,Personal,38372.31,1.8,4/21/2024,11/22/2025,Active
160,409,Auto,36698.18,1.62,11/14/2023,8/17/2027,Active
161,643,Personal,30551.68,4.47,11/6/2022,12/14/2029,Closed
162,302,Auto,12135.91,6.15,3/15/2024,5/29/2030,Active
163,608,Auto,17907.5,4.24,8/11/2023,6/20/2030,Closed
164,972,Business,34968.19,5.89,3/27/2023,5/8/2030,Active
165,303,Business,47211.49,2.28,11/2/2022,3/2/2030,Closed
166,737,Auto,45762.04,4.38,6/7/2024,8/28/2029,Active
167,678,Auto,6035.95,6.27,7/17/2022,6/26/2027,Closed
168,462,Mortgage,2067.38,5.08,5/25/2023,4/25/2029,Closed
169,573,Auto,15286.79,2.54,11/5/2022,6/26/2029,Active
170,593,Personal,4235.37,5.32,9/4/2022,7/20/2027,Active
171,125,Personal,25635.39,4.04,2/15/2023,11/12/2027,Closed
172,984,Business,48510.92,1.8,6/6/2024,7/13/2027,Active
173,292,Mortgage,1086.48,5.36,2/2/2024,6/29/2025,Closed
174,578,Mortgage,18721.37,6.59,11/30/2023,8/13/2025,Closed
175,235,Auto,34248.79,3.6,1/13/2024,10/10/2027,Closed
176,359,Mortgage,32882.16,7.46,12/21/2022,5/26/2029,Active
177,294,Personal,46037.13,3.15,11/27/2022,5/28/2030,Closed
178,709,Mortgage,26191.51,1.62,2/9/2023,8/29/2025,Active
179,73,Personal,29955.14,5.16,11/14/2022,9/11/2029,Closed
180,245,Auto,46714.89,4.74,11/13/2022,2/5/2027,Closed
181,878,Auto,31349.5,5.95,12/2/2023,8/12/2027,Active
182,708,Mortgage,8646.29,2.48,8/25/2022,12/5/2029,Active
183,814,Mortgage,9941.92,3.35,1/2/2023,5/25/2030,Active
184,97,Mortgage,16647.46,3.08,11/12/2022,9/7/2026,Closed
185,999,Personal,38593.53,5.31,6/27/2023,9/22/2025,Closed
186,54,Business,3853.74,6.63,12/31/2022,3/22/2028,Closed
187,26,Auto,47403.1,5.83,10/9/2022,6/22/2028,Closed
188,956,Personal,19856.67,2.8,7/7/2022,6/28/2026,Closed
189,415,Personal,46652.07,5.78,3/15/2023,3/5/2026,Active
190,134,Business,17400.8,2.42,8/13/2022,10/22/2029,Closed
191,621,Mortgage,13511.38,4.45,2/11/2024,1/4/2028,Closed
192,526,Personal,22605.53,7.05,1/8/2024,8/12/2025,Closed
193,507,Auto,8991.03,7.32,11/3/2023,9/13/2026,Active
194,636,Business,41954.33,2.67,1/5/2024,5/24/2026,Active
195,831,Auto,18735.48,3.11,6/19/2023,5/5/2027,Active
196,520,Auto,23166.33,5.81,5/20/2024,10/29/2029,Active
197,540,Personal,20588.75,2.38,4/6/2024,1/6/2027,Active
198,104,Business,40360.34,3.61,12/25/2022,9/22/2029,Closed
199,618,Auto,9131.4,7.07,6/13/2023,7/19/2029,Closed
200,873,Business,47929.34,3.67,12/19/2023,8/17/2025,Closed
201,753,Personal,10460.29,2.73,11/3/2022,11/12/2026,Closed
202,588,Personal,4490.41,5.49,1/19/2024,6/13/2026,Closed
203,837,Business,17143.93,3.8,1/9/2023,3/29/2028,Active
204,632,Business,37722.57,6.66,6/20/2023,12/26/2029,Closed
205,370,Mortgage,7982.4,6.32,11/7/2022,2/14/2030,Active
206,805,Mortgage,9404.96,4.67,6/22/2022,7/25/2029,Closed
207,679,Auto,44502.44,6.43,11/19/2023,10/10/2026,Closed
208,58,Mortgage,18200.71,5.32,4/16/2023,10/16/2028,Closed
209,233,Mortgage,43854.77,6.21,1/27/2024,11/16/2026,Active
210,98,Mortgage,17214.38,2.79,8/26/2022,5/2/2027,Closed
211,855,Business,49327.58,2.75,4/10/2023,2/28/2026,Closed
212,649,Personal,35736.96,7.05,11/23/2022,10/16/2028,Closed
213,294,Business,38960.69,2.57,11/21/2022,10/23/2026,Closed
214,325,Personal,5353.55,5.98,6/4/2024,1/1/2027,Closed
215,168,Auto,38222.99,2.74,10/2/2023,4/22/2027,Closed
216,138,Mortgage,22779.18,4.18,8/6/2022,10/9/2028,Active
217,751,Mortgage,16213.57,5.41,2/15/2023,10/24/2025,Closed
218,670,Auto,40651.4,6.3,12/14/2022,5/20/2029,Closed
219,676,Auto,16463.12,5.57,12/31/2023,6/9/2026,Closed
220,181,Auto,33787.46,4.82,7/7/2022,3/19/2026,Active
221,990,Personal,38578.88,4.18,11/30/2022,4/21/2027,Active
222,865,Auto,23072.88,7.04,1/26/2023,4/28/2029,Closed
223,541,Auto,1271.42,4.17,11/6/2022,11/29/2027,Closed
224,691,Mortgage,44889.26,2.44,8/13/2023,1/2/2028,Active
225,662,Mortgage,39725.07,7.13,6/22/2023,8/5/2028,Active
226,669,Business,23193.62,7.48,11/8/2022,4/7/2026,Closed
227,364,Mortgage,14420.55,6.47,8/25/2022,1/3/2027,Closed
228,425,Business,47611.96,1.96,8/31/2023,2/17/2027,Closed
229,826,Business,36681.7,5.62,10/14/2022,2/16/2028,Active
230,992,Mortgage,36276.1,1.83,11/28/2022,7/10/2029,Closed
231,241,Auto,49745.49,6.11,2/11/2023,4/28/2027,Active
232,190,Business,33048.29,3.55,6/4/2023,11/30/2026,Closed
233,712,Auto,23610.46,4.02,6/8/2023,2/3/2027,Closed
234,372,Business,44237.85,5.85,5/31/2024,7/9/2028,Closed
235,492,Auto,5095.87,1.85,5/5/2024,9/3/2025,Active
236,444,Auto,31101.08,6.25,2/24/2023,5/16/2027,Active
237,248,Personal,3671.26,6.2,12/18/2022,4/9/2028,Closed
238,780,Personal,6746.68,5.72,5/2/2024,2/26/2030,Active
239,885,Business,42055,6.53,12/22/2023,7/25/2029,Closed
240,226,Business,11766.67,6.51,6/12/2023,11/16/2028,Active
241,330,Personal,39025.44,6.74,12/19/2023,2/24/2030,Active
242,557,Mortgage,47596.02,5.76,12/3/2023,1/20/2028,Active
243,651,Business,8297.71,2.71,2/1/2023,9/4/2025,Closed
244,115,Auto,43515.13,4.37,2/15/2023,7/31/2026,Active
245,443,Business,6966.11,5.12,6/24/2022,12/17/2025,Active
246,444,Business,3826.29,4.96,1/2/2023,12/2/2026,Closed
247,122,Mortgage,23545.94,6.54,4/6/2024,7/30/2025,Closed
248,454,Business,34061.92,2.12,6/19/2024,4/26/2027,Closed
249,423,Business,2581.69,7.08,11/26/2023,5/23/2027,Closed
250,690,Mortgage,27925.7,3.13,12/30/2022,10/3/2026,Closed
251,848,Mortgage,43286.87,2.4,7/16/2023,4/30/2029,Active
252,19,Business,27511.73,3.37,11/16/2022,9/6/2029,Closed
253,464,Personal,13542.29,2.8,7/5/2022,6/4/2027,Closed
254,637,Business,49324.27,5.94,1/6/2024,1/15/2030,Closed
255,182,Business,49339.13,7.02,10/30/2023,5/29/2026,Active
256,962,Personal,1598.3,6.18,2/19/2023,12/15/2029,Active
257,584,Business,4175.33,3.45,12/19/2022,12/12/2027,Closed
258,834,Auto,29930.07,3.63,6/18/2024,9/9/2025,Active
259,832,Personal,42749.26,6.31,3/19/2024,4/24/2029,Active
260,394,Business,43036.87,5.86,2/24/2024,1/30/2029,Active
261,68,Auto,19711.04,6.09,1/31/2023,9/27/2027,Active
262,284,Mortgage,27249.38,6.94,5/1/2024,12/30/2029,Active
263,971,Auto,37864.6,3.93,4/10/2023,10/8/2028,Active
264,657,Personal,23019.64,4.02,1/10/2023,1/3/2026,Closed
265,58,Auto,33835.29,2.51,5/31/2023,7/26/2029,Active
266,677,Mortgage,19311.31,4.92,6/22/2022,12/30/2027,Active
267,481,Mortgage,40019.03,2.21,9/24/2022,7/17/2028,Active
268,374,Mortgage,26120.21,1.95,1/29/2023,4/12/2027,Active
269,391,Mortgage,2290.33,6.92,7/18/2023,8/29/2026,Active
270,312,Business,36949.33,3.19,6/11/2024,10/11/2026,Closed
271,62,Auto,34435.34,4.78,6/25/2022,9/6/2025,Closed
272,101,Personal,31195.14,6.95,10/5/2022,9/28/2028,Closed
273,574,Mortgage,49983.24,5.72,1/22/2023,3/8/2026,Active
274,638,Personal,22266.73,6.55,8/10/2022,3/6/2027,Active
275,22,Business,47903.51,1.8,12/1/2023,8/7/2028,Closed
276,847,Mortgage,44734.41,6.5,11/21/2022,7/18/2029,Closed
277,881,Mortgage,22016.07,5.33,11/5/2022,3/31/2029,Closed
278,99,Mortgage,24368.46,4.3,1/16/2023,8/11/2029,Active
279,856,Auto,8996.42,1.51,12/15/2022,2/9/2026,Closed
280,52,Mortgage,17772.02,4.61,6/5/2023,4/15/2030,Closed
281,568,Personal,14726.4,5.57,7/15/2023,2/6/2027,Closed
282,639,Business,24741.84,5.6,12/11/2022,1/9/2026,Closed
283,719,Business,9655.34,7.49,6/12/2023,4/20/2027,Active
284,237,Mortgage,10667.5,3.69,5/29/2023,12/14/2028,Closed
285,95,Business,18029.91,4.85,4/26/2023,5/2/2029,Closed
286,183,Personal,34626.72,5.16,2/5/2024,12/5/2027,Closed
287,430,Auto,32618.13,2.1,9/27/2023,11/23/2028,Closed
288,604,Auto,43328.41,7.09,2/15/2024,7/1/2028,Active
289,372,Mortgage,30355.1,1.73,1/15/2024,12/20/2025,Active
290,140,Business,12387.87,3.07,11/15/2022,1/18/2026,Active
291,149,Business,46047.87,4.42,12/27/2023,5/7/2027,Closed
292,57,Auto,29285.51,6.6,9/30/2023,3/3/2027,Active
293,433,Personal,12504.62,5.45,7/2/2022,12/27/2025,Closed
294,760,Auto,13932.05,5.66,6/2/2023,7/29/2029,Closed
295,552,Personal,5478.76,4.64,1/18/2024,1/12/2028,Active
296,121,Mortgage,16354.13,6.65,4/27/2024,2/10/2028,Closed
297,416,Auto,39155.16,5.53,5/10/2023,7/15/2026,Closed
298,891,Mortgage,11325.33,4.77,10/26/2023,12/18/2028,Closed
299,378,Personal,8697.61,7.11,7/17/2022,12/19/2026,Closed
300,371,Mortgage,25707.77,2.79,5/24/2024,10/14/2025,Closed
301,249,Mortgage,23679.43,6.88,1/16/2023,5/6/2027,Closed
302,154,Personal,8213.16,2.91,2/12/2024,6/22/2025,Active
303,99,Personal,28877.97,6.29,9/2/2023,5/18/2028,Closed
304,811,Business,16968.9,4.12,6/30/2022,11/27/2025,Active
305,503,Personal,44437.51,3.74,3/25/2024,10/11/2026,Active
306,431,Auto,42977.6,3.45,1/23/2023,9/11/2027,Closed
307,738,Mortgage,49951.86,3.33,6/30/2023,10/31/2025,Active
308,628,Auto,3041.69,6.65,1/18/2023,1/9/2026,Active
309,532,Business,10171.91,5.91,8/24/2022,6/30/2028,Closed
310,767,Personal,29250.47,6.7,9/27/2022,5/1/2029,Closed
311,24,Business,43955.83,2.44,8/25/2022,2/1/2028,Closed
312,890,Business,36473.48,3.78,1/15/2023,9/19/2028,Active
313,377,Auto,27386.11,6.46,12/21/2022,2/2/2028,Active
314,429,Personal,38030.89,7.12,3/29/2024,5/30/2026,Active
315,996,Business,49687.23,3.74,12/14/2022,8/15/2026,Active
316,66,Mortgage,19134.53,6.6,8/4/2022,1/13/2026,Closed
317,766,Mortgage,49422.05,2.79,4/23/2024,9/9/2029,Closed
318,786,Mortgage,41642.13,6.75,4/2/2023,12/6/2025,Closed
319,489,Auto,38098.87,6.61,9/4/2022,3/1/2030,Closed
320,217,Business,5397.73,7.42,2/7/2024,3/8/2030,Closed
321,9,Mortgage,43224.53,5.64,10/17/2022,5/19/2028,Closed
322,255,Personal,27441.6,5,4/12/2023,5/1/2029,Active
323,818,Personal,35518.28,5.43,2/3/2023,5/30/2030,Active
324,675,Business,40251.55,3.48,2/26/2023,12/4/2029,Closed
325,866,Personal,38213.87,4.42,3/12/2024,1/15/2028,Closed
326,277,Auto,17276.59,2.45,1/9/2024,10/14/2029,Closed
327,950,Business,8579.67,2.51,6/29/2022,10/7/2028,Active
328,555,Personal,39461.38,6.13,1/30/2023,7/24/2029,Closed
329,693,Auto,40199.12,2.29,9/16/2023,9/20/2027,Closed
330,125,Personal,26372.53,4.19,10/4/2022,5/2/2030,Closed
331,46,Business,28944.76,6.28,12/23/2022,2/12/2026,Active
332,620,Auto,17653.59,1.72,9/23/2023,5/8/2026,Closed
333,674,Personal,26416.28,2.41,3/12/2024,5/4/2029,Active
334,73,Business,8139.45,4.99,11/7/2022,2/23/2027,Closed
335,16,Auto,35006.81,4.41,7/25/2022,12/15/2028,Closed
336,718,Business,39954.63,2.13,3/6/2024,10/4/2027,Active
337,252,Business,32895.49,5.3,12/12/2023,1/8/2030,Closed
338,386,Auto,32915.73,5.4,2/18/2023,8/11/2027,Closed
339,935,Personal,16482.95,1.71,5/29/2023,9/17/2029,Closed
340,629,Auto,4592.59,2.79,3/10/2024,10/21/2027,Active
341,561,Mortgage,34190.69,7.16,11/28/2023,12/23/2026,Closed
342,781,Mortgage,26738.96,2.05,11/20/2023,11/27/2025,Active
343,472,Mortgage,14834.85,5.97,11/2/2022,6/30/2029,Active
344,721,Business,2257.69,6.18,7/17/2022,7/28/2028,Closed
345,524,Mortgage,25872.08,3.5,8/27/2022,6/7/2030,Closed
346,268,Auto,11261.59,6.5,11/27/2022,11/20/2027,Active
347,799,Mortgage,42180.24,2.54,6/20/2023,7/2/2029,Closed
348,508,Business,11408.28,4.85,8/28/2022,7/22/2026,Active
349,795,Mortgage,36040.06,1.96,4/11/2024,4/11/2026,Active
350,821,Auto,12413.82,6.85,11/20/2022,7/27/2028,Active
351,48,Business,28929.74,4.43,2/14/2024,11/7/2025,Closed
352,525,Auto,9652.25,4.83,6/27/2022,7/14/2028,Active
353,68,Business,14684.4,2.5,7/13/2022,4/16/2026,Active
354,731,Personal,6135.05,2.46,8/26/2023,10/8/2025,Closed
355,366,Business,16149.3,1.54,11/29/2022,1/11/2027,Active
356,135,Personal,6237.52,1.93,5/18/2024,12/2/2025,Active
357,459,Mortgage,16112.58,5.72,11/21/2023,11/11/2027,Active
358,506,Auto,26768.26,4.81,12/10/2023,5/4/2028,Active
359,546,Auto,30940.63,2.5,10/15/2023,7/30/2027,Closed
360,224,Mortgage,42994.74,2.2,2/8/2023,12/24/2028,Closed
361,134,Business,9205.76,3.88,10/28/2023,1/24/2028,Active
362,10,Auto,12037.09,7.11,1/3/2023,12/20/2028,Active
363,997,Mortgage,23524.5,5.45,6/21/2023,8/16/2026,Active
364,776,Auto,4157.34,3.88,3/28/2023,6/24/2028,Active
365,160,Personal,27617.71,1.61,11/9/2022,12/26/2028,Active
366,679,Business,47794.5,2.56,4/12/2023,6/27/2028,Active
367,853,Auto,1239.37,6.69,5/20/2023,4/24/2029,Closed
368,398,Business,5035.9,5.73,6/29/2022,5/14/2030,Closed
369,37,Business,25271.23,6.87,12/4/2023,9/22/2028,Active
370,38,Auto,18858.61,5.68,8/9/2022,5/6/2027,Active
371,445,Personal,34804.81,6.82,9/16/2022,1/4/2028,Closed
372,235,Personal,48068.96,3.67,6/10/2023,4/17/2028,Active
373,978,Business,35802.59,4.03,5/21/2024,8/31/2026,Closed
374,998,Mortgage,2747.7,6.56,7/19/2022,4/6/2029,Closed
375,387,Mortgage,24782.13,1.71,10/22/2023,11/8/2028,Closed
376,682,Mortgage,40696.66,7.19,9/20/2023,1/2/2027,Active
377,212,Personal,33218.8,1.68,3/26/2024,8/16/2027,Closed
378,454,Personal,3700.4,6.69,10/12/2023,6/10/2028,Active
379,301,Mortgage,24410.18,2.06,12/22/2022,3/7/2029,Active
380,347,Business,21328.79,2.93,9/2/2022,7/7/2029,Active
381,228,Business,12039.1,7.38,11/26/2022,1/30/2028,Closed
382,493,Auto,10830.02,5.13,6/9/2024,9/4/2029,Closed
383,895,Mortgage,35425.97,1.67,12/22/2023,10/21/2025,Closed
384,105,Business,7939.03,3.76,12/31/2022,12/23/2028,Closed
385,45,Mortgage,35955.04,4.08,3/27/2023,12/7/2028,Active
386,664,Mortgage,14131.51,3.68,1/31/2024,11/8/2029,Active
387,231,Auto,38658.37,6.92,2/13/2023,12/30/2029,Closed
388,889,Auto,26032.69,5.55,2/6/2024,9/13/2025,Closed
389,398,Auto,32498.81,1.85,8/10/2023,1/2/2027,Active
390,782,Mortgage,7881.79,2.52,7/14/2022,5/28/2027,Active
391,385,Auto,6152.87,4.63,8/11/2022,12/23/2027,Active
392,416,Mortgage,42310.64,2.17,12/8/2022,2/14/2027,Closed
393,785,Auto,2584.84,7.31,12/7/2023,5/11/2029,Active
394,942,Personal,20104.26,6.92,8/6/2022,11/15/2026,Closed
395,650,Auto,40318.26,3.18,9/25/2022,6/3/2027,Active
396,907,Business,32727.65,5.47,5/4/2023,1/28/2026,Closed
397,201,Business,17943.06,4.73,9/1/2022,1/25/2029,Closed
398,804,Personal,1497.74,6.83,5/14/2023,9/3/2029,Closed
399,866,Business,4936.31,1.68,11/27/2022,7/31/2029,Active
400,393,Auto,12146.64,4.43,3/3/2023,3/31/2026,Closed
