AccountID,CustomerID,BrokerageFirm,TotalInvested,CurrentValue
86,368,Tinkoff,33087.53,38950.87
87,906,eToro,84409.87,76721.66
88,88,Robinhood,22592.18,30204.78
89,646,Robinhood,33091.42,29014.39
90,646,eToro,58064.39,59678.18
91,710,Freedom Finance,72709.19,74340.79
92,13,Tinkoff,66494.06,99041.47
93,13,Saxo Bank,97178.29,92523.34
94,342,Freedom Finance,85094.67,114180.71
95,342,Freedom Finance,21207.23,27693.77
96,66,eToro,3658.55,3826.04
97,984,Robinhood,70233.89,90942.88
98,984,Saxo Bank,6014.59,6618.63
99,613,Saxo Bank,50623.79,55744.99
100,613,eToro,70220.07,62753.11
101,206,eToro,49602.01,49773.43
102,206,eToro,41051.53,47134.0
103,941,eToro,64429.91,86544.68
104,941,eToro,28445.9,31259.04
105,697,Tinkoff,21470.35,32044.69
106,550,Saxo Bank,93465.64,86780.98
107,550,Saxo Bank,41161.13,39378.13
108,874,Freedom Finance,17476.28,24181.83
109,642,Saxo Bank,54967.07,59615.75
110,642,Tinkoff,99238.22,116254.14
111,210,eToro,31077.07,34329.65
112,210,Robinhood,66568.28,91074.39
113,436,Robinhood,22644.28,26550.8
114,436,Freedom Finance,71469.4,86342.66
115,883,Tinkoff,70396.53,64807.28
116,883,Freedom Finance,3796.3,3586.69
117,819,Interactive Brokers,36445.59,39799.81
118,526,Robinhood,51544.47,44911.7
119,526,Saxo Bank,81683.62,98506.43
120,193,Robinhood,58981.93,59399.52
121,316,Saxo Bank,9089.57,12880.04
122,977,eToro,4614.56,6321.69
123,485,Robinhood,9400.99,8857.83
124,323,Tinkoff,45074.16,62337.12
125,256,Tinkoff,46143.8,45029.5
126,256,Saxo Bank,84295.19,88362.86
127,412,eToro,86469.99,112722.72
128,412,eToro,82239.05,113807.41
129,798,Robinhood,15542.92,21527.23
130,798,Saxo Bank,47063.56,50831.21
131,669,eToro,17675.43,16267.76
132,669,Tinkoff,90204.53,110231.76
133,787,Saxo Bank,17933.18,22690.57
134,787,Saxo Bank,99175.16,103504.4
135,894,Saxo Bank,44940.94,49837.5
136,692,Robinhood,96987.66,131396.99
137,692,eToro,49832.37,56901.51
138,687,Freedom Finance,36603.11,47370.02
139,687,eToro,2481.97,3301.1
140,143,eToro,52015.2,65863.11
141,665,eToro,78177.32,115601.32
142,665,Freedom Finance,7104.04,10343.29
143,571,Interactive Brokers,44369.45,54530.07
144,609,Tinkoff,55879.87,53019.8
145,429,eToro,60972.33,71513.16
146,429,Saxo Bank,61064.86,77299.28
147,734,eToro,48448.96,56821.91
148,734,Freedom Finance,79636.81,101834.05
149,587,Freedom Finance,63103.9,67685.84
150,587,eToro,34884.97,36810.86
151,509,Saxo Bank,14423.23,13680.24
152,509,Interactive Brokers,25562.41,38038.6
153,791,Robinhood,47668.16,64135.93
154,393,Freedom Finance,57695.75,67290.83
155,909,Freedom Finance,13881.75,12134.58
156,909,Freedom Finance,26049.61,27580.46
157,857,Robinhood,95492.59,106995.38
158,881,Robinhood,1419.48,1424.92
159,329,eToro,35212.2,35261.82
160,329,Saxo Bank,22907.93,21076.81
161,348,Saxo Bank,5699.76,6322.11
162,30,eToro,26972.75,30056.61
163,30,Tinkoff,80396.5,117258.71
164,926,Saxo Bank,85070.76,120093.57
165,360,Freedom Finance,30362.27,41174.07
166,360,Freedom Finance,65032.74,91540.62
167,197,Interactive Brokers,10790.3,15550.8
168,197,Interactive Brokers,10605.94,10673.07
169,709,Robinhood,1100.32,1596.39
170,709,Saxo Bank,36824.83,39719.42
171,810,eToro,75302.94,99115.74
172,453,eToro,37197.09,49562.26
173,981,Freedom Finance,69154.72,92969.86
174,981,eToro,75178.3,106720.39
175,97,Interactive Brokers,4454.09,6189.05
176,205,Tinkoff,68822.95,83817.69
177,205,Interactive Brokers,32068.95,42456.88
178,916,Saxo Bank,6091.52,6251.11
179,46,Freedom Finance,12675.95,14777.24
180,204,Interactive Brokers,23834.32,26076.54
181,204,Interactive Brokers,24326.45,30379.35
182,103,Interactive Brokers,76902.76,95787.62
183,103,eToro,30797.43,27857.09
184,944,Saxo Bank,77123.12,100648.07
185,944,Interactive Brokers,25079.52,37367.51
186,469,Interactive Brokers,56168.1,75188.7
187,469,Robinhood,41796.77,36010.15
188,236,Interactive Brokers,92988.92,117281.09
189,236,eToro,58208.82,56144.69
190,796,Tinkoff,6355.22,7938.18
191,796,Robinhood,25404.97,25143.3
192,249,Interactive Brokers,33254.27,33569.37
193,48,Freedom Finance,27823.49,30023.86
194,807,Robinhood,28826.12,27618.68
195,807,eToro,64525.31,85190.91
196,694,Tinkoff,72512.24,85652.96
197,563,Tinkoff,13153.43,17635.07
198,595,Freedom Finance,12254.88,17371.47
199,595,eToro,73215.37,96257.3
200,882,Robinhood,26005.91,37836.18
201,882,Saxo Bank,28371.12,28163.58
202,619,Robinhood,22161.18,20440.23
203,619,Robinhood,86534.1,86140.36
204,963,eToro,39336.96,43934.66
205,963,Freedom Finance,60496.46,89485.06
206,91,Freedom Finance,71515.48,67174.52
207,91,Freedom Finance,69748.27,66863.58
208,318,Tinkoff,96208.06,110729.7
209,318,Interactive Brokers,48467.24,50874.5
210,212,eToro,13525.68,15117.93
211,812,Freedom Finance,49981.61,50214.79
212,812,Robinhood,91393.45,78958.5
213,219,Robinhood,33804.67,37310.07
214,433,eToro,38714.74,56589.66
215,433,eToro,57112.72,62848.08
216,583,Tinkoff,53414.74,57090.81
217,961,Interactive Brokers,15258.29,18526.87
218,961,Tinkoff,28137.96,40005.43
219,706,Saxo Bank,18974.7,18610.91
220,706,eToro,49711.18,70279.63
221,845,Tinkoff,77993.01,91933.21
222,274,Tinkoff,55893.98,71547.98
223,274,Freedom Finance,41122.62,61122.83
224,960,Interactive Brokers,39385.69,47035.63
225,960,Saxo Bank,81572.49,95735.96
226,602,eToro,62100.69,91743.78
227,602,Interactive Brokers,36933.52,32674.58
228,374,Freedom Finance,45568.43,53127.49
229,374,eToro,59558.3,50692.56
230,21,Saxo Bank,51800.35,69958.18
231,187,Interactive Brokers,91291.97,120236.88
232,187,Saxo Bank,76749.22,72350.69
233,93,Freedom Finance,88376.16,84122.63
234,719,eToro,81094.31,98243.5
235,133,Robinhood,15170.11,15259.08
236,85,Freedom Finance,29859.51,40471.72
