MerchantID,MerchantName,Industry,Location,CustomerID
143,"Taylor, Fowler and Ryan",Food & Beverage,"Port Kimberly, Mauritania",445
144,Johnson-Valdez,Technology,"North Kimberlymouth, Haiti",614
145,Cunningham LLC,E-commerce,"Alexanderland, Aruba",871
146,Gray-Hamilton,Travel,"Lorifort, Timor-Leste",376
147,Waters and Sons,Logistics,"Maryshire, Antarctica (the territory South of 60 deg S)",428
148,Jordan LLC,Entertainment,"Andersonstad, Chile",421
149,Andrade-Wilson,Food & Beverage,"Martinezmouth, Tuvalu",598
150,Galloway Ltd,Entertainment,"Millermouth, Bouvet Island (Bouvetoya)",352
151,Baird Ltd,Travel,"Leviborough, Honduras",854
152,Williams-Fowler,Finance,"West Christine, United States Minor Outlying Islands",42
153,"Stewart, Phillips and Larson",Travel,"Sandrashire, Congo",216
154,Richards-Chung,Travel,"East Dustinstad, Martinique",438
155,Mcintosh Group,Entertainment,"Mannstad, Saint Martin",541
156,Steele LLC,Retail,"Conradton, Barbados",548
157,Brown-Bray,Retail,"Evanshire, Brazil",785
158,Smith Group,Retail,"Rossberg, Namibia",369
159,Bryant and Sons,Finance,"North Paulburgh, Andorra",69
160,Baker-Chan,Entertainment,"Port Williamshire, Austria",297
161,"Burgess, Thompson and Morris",Retail,"Victorshire, Montserrat",213
162,"Johnson, Ayers and Boone",Finance,"Hollystad, Bosnia and Herzegovina",673
163,Armstrong-Coffey,Finance,"Rogerston, Slovakia (Slovak Republic)",958
164,"Wood, White and Delacruz",Technology,"Elizabethshire, Paraguay",559
165,Owens Ltd,Finance,"Port Matthew, Guyana",738
166,Rios Group,Telecom,"Obrienhaven, Andorra",643
167,Osborne Inc,Technology,"New Dawnbury, Christmas Island",802
168,"Weiss, Perez and Anderson",Finance,"Bauerview, Pitcairn Islands",167
169,Morales-Key,Technology,"Franklinhaven, Armenia",448
170,Flores and Sons,Food & Beverage,"Nicholasstad, Wallis and Futuna",783
171,Peterson PLC,Travel,"South Gabrielle, Nigeria",845
172,Mills-Stevens,Entertainment,"Snowberg, Holy See (Vatican City State)",246
173,Fernandez-Rogers,Retail,"West Shelia, Qatar",551
174,Garcia-Sloan,Logistics,"New Anthony, Tonga",878
175,"Cohen, Gordon and Long",E-commerce,"North Greg, Saudi Arabia",92
176,Delgado-Johnson,Technology,"Jillport, Turkey",504
177,"Harper, Ferguson and Mccoy",Entertainment,"Port Michelemouth, Honduras",998
178,"Grant, Villa and Bell",Entertainment,"Turnerhaven, Guinea-Bissau",255
179,Gray Inc,E-commerce,"Jacobton, Saint Lucia",567
180,"Davis, Clark and Maldonado",Telecom,"South Caseyville, Cook Islands",429
181,Berry Inc,Finance,"Cindyland, El Salvador",177
182,"Carter, Smith and Tucker",Entertainment,"Cynthiaport, Papua New Guinea",46
183,Aguilar-Mitchell,Retail,"Kirkberg, Cambodia",817
184,"Aguirre, Cordova and Lawrence",Technology,"Lake Kellychester, Belarus",230
185,Washington-Fuller,E-commerce,"Lake Kyleview, Fiji",277
186,Anderson Inc,Food & Beverage,"Wilcoxborough, Bermuda",663
187,Fleming-Butler,Entertainment,"North Maryshire, Wallis and Futuna",474
188,Smith-Carter,E-commerce,"Romeromouth, Lesotho",703
189,Hoover and Sons,Technology,"New Adam, Isle of Man",797
190,Collier-Olson,Logistics,"Port Claudia, Benin",744
191,Case Ltd,Technology,"Lake Mark, Tunisia",132
192,Alvarez-Jones,Technology,"North Leah, Saint Lucia",114
193,Wilson-Miller,Logistics,"Suttonport, Kenya",537
194,Ramos PLC,Travel,"New Brianna, Suriname",701
195,"Pittman, Davis and Tate",Travel,"Lisamouth, Israel",281
196,Brown-Baker,Telecom,"Russoberg, Isle of Man",720
197,"Pittman, Ramirez and Dudley",Food & Beverage,"Staceyville, Moldova",542
198,Jenkins-Montoya,Healthcare,"Reneeside, Saudi Arabia",323
199,Harper-Myers,Healthcare,"Port Brenda, Gabon",602
200,Delacruz Group,Entertainment,"Port Oscar, Liechtenstein",156
