PolicyID,CustomerID,InsuranceType,PremiumAmount,CoverageAmount
175,738,Health,1235.68,80590.04
176,371,Health,234.69,12596.92
177,412,Vehicle,1386.34,10312.75
178,854,Life,1988.86,67094.43
179,851,Life,700.75,10115.96
180,493,Life,301.97,14397.43
181,81,Health,524.9,26169.4
182,367,Health,1909.99,72315.76
183,697,Health,1985.08,77060.61
184,885,Vehicle,420.41,94165.35
185,778,Life,1563.82,23409.32
186,69,Health,809.65,98497.48
187,862,Vehicle,1020,40042.64
188,544,Life,1925.14,40298.58
189,577,Life,957.27,93510.84
190,992,Health,804.37,68918.33
191,96,Health,461.09,57983.32
192,257,Life,337.77,25584.3
193,55,Life,1064.31,13839.28
194,961,Health,1840.11,20213.59
195,992,Life,1668.14,16923.74
196,986,Vehicle,1638.49,36410.48
197,969,Life,1215.62,72087.1
198,325,Life,891.98,80293.09
199,900,Life,1185.03,6481.72
200,342,Health,1740.29,7650.45
201,333,Vehicle,604.53,74891.26
202,824,Life,1396.55,62512.2
203,788,Life,234.22,98383.02
204,478,Vehicle,916.18,15166.07
205,629,Vehicle,267.13,64797.06
206,475,Vehicle,1175.49,61198.06
207,338,Vehicle,1237.08,12577.11
208,104,Life,1200.78,52459.5
209,1000,Vehicle,1861.8,48629.98
210,759,Life,800.29,91287.2
211,711,Vehicle,1875.03,16436.83
212,868,Health,321.21,88717.91
213,444,Health,288.42,59652.61
214,921,Health,974.74,82146.77
215,560,Vehicle,793.74,74489.98
216,564,Life,241.62,96706.23
217,954,Health,462.72,54008.87
218,480,Vehicle,738.04,10733.75
219,891,Health,1906.24,32402.75
220,717,Life,1399.66,94316.36
221,409,Vehicle,1613.27,57968.16
222,92,Life,1177.79,65897.39
223,83,Health,1421.13,78029.89
224,502,Vehicle,1081.87,30824.4
225,57,Vehicle,1594.41,16089.56
226,259,Vehicle,1811.7,87115.95
227,464,Health,1024.44,14512.32
228,975,Health,1228.42,32590.24
229,144,Life,368.95,79268.55
230,206,Vehicle,717.01,22513.3
231,395,Vehicle,553.47,67138.31
232,688,Health,1258.06,37688.41
233,98,Life,1663.7,65332.49
234,627,Health,1035.17,9316.48
235,433,Vehicle,1962.08,38025.97
236,641,Life,503.04,30736.06
237,646,Life,513.46,54321.33
238,456,Vehicle,1305.49,95810.51
239,46,Life,1167.05,90709.29
240,749,Health,906.43,83319.25
241,282,Life,1232.83,88068.36
242,898,Life,1527.47,45137.09
243,927,Vehicle,1930.33,19309.03
244,800,Vehicle,1610.96,72546.56
245,208,Health,966.5,16283.93
246,6,Vehicle,1217.73,86363.65
247,205,Life,1488.31,17294.5
248,822,Life,1635.21,8816.95
249,407,Health,863.48,31048.02
250,596,Vehicle,226.82,94120.35
251,510,Life,1933.84,27848.05
252,332,Vehicle,635.15,78651.89
253,384,Vehicle,1816.7,95077.26
254,787,Vehicle,1129.71,5378.43
255,411,Vehicle,1676.86,58548.49
256,529,Life,1739.56,92699.24
257,53,Health,1897.67,70464.69
258,500,Life,1250.9,17884.46
259,738,Vehicle,1576.73,91459.76
260,960,Life,972.26,94999.66
261,985,Life,1013.57,63499.71
262,800,Life,264.29,76737.41
263,459,Life,202.76,70816.85
264,544,Vehicle,1202.03,21031.39
265,219,Vehicle,996.85,92302.3
266,816,Health,204.87,58343.84
267,897,Health,1056.96,86855.23
268,324,Vehicle,502.76,75699.94
269,703,Life,1972.19,31946.16
270,90,Life,1862.24,17001.48
271,588,Life,1660.25,13990.94
272,917,Life,1993.78,49816.34
273,874,Health,1670.34,8375.99
274,189,Vehicle,813.22,78710.23
275,752,Health,464.62,7275.84
276,604,Vehicle,587.44,70723.26
277,527,Life,1899.29,10760.89
278,796,Health,538.53,91893.45
279,108,Health,1681.29,79329.63
280,658,Life,1786.3,93581.25
281,765,Health,821.48,80035.12
282,810,Vehicle,437.63,51936.78
283,367,Vehicle,1798.89,56738.27
284,727,Health,1133.2,99930.1
285,100,Vehicle,1927.9,31613.49
286,565,Vehicle,1462.14,33392.07
287,672,Health,664.9,88605.83
288,175,Life,507.78,56037.91
289,994,Health,497.15,36796.07
290,311,Health,701.59,48866.7
291,955,Vehicle,1993.31,75134.96
292,801,Health,726.87,41750.19
293,835,Vehicle,1180.73,81102.55
294,937,Life,1941.81,43688.18
295,813,Life,1842.14,30639.51
296,27,Life,326.34,68500.28
297,830,Life,482.54,65497.15
298,721,Life,1701,14983.48
299,708,Health,295,42736.32
300,758,Life,241.36,94087.86
301,410,Vehicle,1368.76,73435.84
302,419,Vehicle,526.07,40781.69
303,278,Health,525.09,6763.18
304,49,Health,550.85,79454.29
305,70,Life,1852.37,17424.94
306,264,Life,527.62,38943.28
307,925,Health,207.61,37683.53
308,447,Vehicle,1463.55,32111.95
309,973,Vehicle,1655.24,75783.28
310,725,Health,511.2,31322.44
311,778,Health,1833.4,18063.14
312,504,Vehicle,575.58,54856.59
313,569,Vehicle,1083.46,46240.7
314,49,Health,680.99,18501.29
315,216,Health,706.98,32362
316,363,Health,331.94,64339.37
317,684,Health,1423.55,23996.39
318,716,Life,1735.36,12033
319,149,Life,378.67,7349.98
320,672,Vehicle,1592.09,87028.16
321,989,Health,1394.4,83026.36
322,612,Life,1686.59,5949.52
323,59,Life,1131.71,26060.21
324,578,Health,511.3,15880.24
325,765,Life,1508.98,18582.63
326,502,Life,948.95,90470.2
327,682,Vehicle,1224,17179.12
328,131,Health,1451.4,80845.24
329,778,Life,958.09,88939.97
330,51,Life,704.31,52594.01
331,974,Vehicle,1228.5,83131.22
332,270,Life,678.97,65530.95
333,806,Vehicle,1485.32,39555.64
334,316,Health,1849.72,25729.62
335,493,Life,1664.91,8992.85
336,93,Life,1517.78,9242.79
337,213,Life,836.96,95124.75
338,366,Vehicle,1240.88,72681.12
339,635,Health,1275.71,34967.29
340,415,Health,840.78,31630.14
341,676,Health,1092.86,42692.26
342,452,Health,1935.59,72870.27
343,226,Health,1464.71,14802.99
344,939,Vehicle,1575.93,79534.44
345,979,Health,1837.17,25188.03
346,309,Life,490.53,45206.52
347,719,Health,1537.23,23962.17
348,140,Vehicle,710.65,99809.05
349,708,Vehicle,439.77,34085.6
350,98,Life,229.38,59358.44
351,197,Health,1899.81,9075.76
352,55,Health,1717.02,14522.99
353,633,Vehicle,545.42,39743.79
354,782,Health,920.58,10444.72
355,610,Vehicle,354.09,91133.44
356,493,Health,836.17,63847.22
357,591,Life,265.46,48588.62
358,552,Life,1578.09,13667.62
359,556,Life,1096.29,8408.82
360,924,Vehicle,797.42,67498.1
361,981,Life,1998.11,30876.67
362,986,Health,402.07,91521.7
363,282,Life,426.41,71353.69
364,912,Health,515.47,74165.14
365,705,Life,1397.48,58289.14
366,600,Health,204.64,23164.33
367,811,Life,460.83,76942.49
368,857,Life,847.78,91490.5
369,366,Vehicle,1305.59,91752.02
370,378,Vehicle,1595.62,91735.98
371,72,Vehicle,1450.11,15564.97
372,401,Health,780.78,81155.64
373,389,Life,412.55,13194.75
374,662,Health,1580.85,24439.38
375,562,Life,1407.04,19359.44
376,364,Life,1167.13,42706.63
377,898,Health,681.53,83518.81
378,726,Vehicle,418.01,60056.74
379,843,Life,1377.79,37103.46
380,320,Vehicle,417.18,11003.86
381,886,Health,1815.52,43799.88
382,511,Life,882.9,16230.55
383,241,Health,226.07,16600.92
384,214,Vehicle,1698.84,89078.48
385,359,Life,1756.69,39439.7
386,643,Vehicle,1277.92,93059.12
387,230,Life,557.9,15189.68
388,121,Life,1645.97,81809.97
389,77,Vehicle,1815.59,22542.37
390,203,Health,1475.16,41212.91
391,714,Health,430.65,62441.57
392,984,Life,1859.74,81517.94
393,997,Life,340.88,26564.23
394,283,Health,226.04,41482.3
395,79,Health,954.36,15720.83
396,135,Life,817.78,98612.25
397,282,Vehicle,1204.2,29489.74
398,463,Health,595.76,24008.68
399,930,Life,250.12,33141.79
400,112,Life,1730.58,22941.09
401,242,Life,1929.26,28233.43
402,439,Vehicle,695.57,87747.61
403,359,Life,1102.54,68995.51
404,460,Vehicle,829.71,39914.44
405,146,Health,1925.48,29786.46
406,756,Life,1111.28,58065.06
407,994,Health,358.8,23878.74
408,697,Health,1581.11,51215.99
409,3,Health,208.16,82140.76
410,43,Vehicle,1527.76,10874.46
411,887,Life,1218.12,95793.42
412,689,Vehicle,764.77,97936.92
413,255,Health,966.94,46988.12
414,101,Life,1561.48,75337.94
415,767,Life,1441.73,42670.03
416,210,Vehicle,1239.24,36732.59
417,502,Life,412.28,12547.67
418,86,Health,554.34,72511.54
419,623,Vehicle,543.45,63709.67
420,584,Health,490.13,47268.92
421,175,Vehicle,1687.95,78362.05
422,933,Vehicle,1796.4,16438.21
423,360,Health,862.31,64367.53
424,828,Health,224.73,10107.21
425,569,Vehicle,1036.38,33977.76
426,476,Life,892.28,56581.62
427,211,Life,806.99,54639.29
428,957,Life,1312.22,60944.43
429,159,Health,1757.09,31977.44
430,134,Life,1802.62,78586.3
431,416,Vehicle,1130.67,25451.45
432,607,Life,1262.97,26176.57
433,849,Vehicle,900.88,42242.2
434,149,Health,553.4,71829.32
435,236,Vehicle,397.37,18045.22
436,303,Health,1860.27,75778.39
437,704,Vehicle,1047.34,38713.13
438,263,Health,955.33,69587.98
439,826,Life,1747.91,68057.47
440,665,Vehicle,1709.98,56536.37
441,517,Health,849.07,22382.48
442,612,Vehicle,1778.68,92982.36
443,117,Vehicle,517.85,65870.58
444,302,Health,1947.89,32038.58
445,855,Life,1029.09,16868.87
446,751,Vehicle,825.71,12662.55
447,650,Life,1322.71,60798.71
448,114,Vehicle,609.16,33262.13
449,696,Health,1047.31,59952.47
450,123,Vehicle,1104.45,31918.84
451,318,Life,1520.98,16044.02
452,262,Health,1602.88,5183.36
453,182,Life,358.45,61194.66
454,387,Life,1049.21,18600.92
455,525,Vehicle,440.38,67945.28
456,265,Vehicle,672.27,74665.84
457,976,Health,1951.19,65716.94
458,520,Life,676.34,35967.09
459,958,Life,1957.45,92995.57
460,888,Vehicle,1217.75,16009.39
461,112,Vehicle,1688.82,99178.34
462,925,Health,1553.21,65649.5
463,316,Health,1873.51,95999.94
464,769,Vehicle,1538.62,42195.95
465,128,Vehicle,591.85,78788.5
466,25,Health,1025.69,72366.56
467,198,Health,1574.6,67311.59
468,167,Health,240.72,79681.34
469,190,Life,1518.9,18043.55
470,951,Life,1961.23,98476.52
471,527,Life,1604.97,97465.76
472,950,Vehicle,1333.34,47229.81
473,635,Vehicle,795.89,64132.44
474,879,Vehicle,1925.65,65229.06
475,720,Health,873.79,30140.29
476,375,Health,1111.56,49260.56
477,239,Health,1271.63,80058.69
478,582,Vehicle,1324.22,81304.76
479,991,Health,1595.89,39017.67
480,870,Life,1280.49,63082
481,495,Life,527.68,64916.24
482,813,Vehicle,710.25,58228.82
483,328,Health,1715.69,17925
484,862,Life,778.52,74226.74
485,515,Vehicle,1828.73,93670.16
486,861,Vehicle,399.14,62038.36
487,673,Vehicle,1784.67,58506.72
488,459,Life,647.24,39775.94
489,886,Vehicle,624.26,7717.09
490,648,Health,1543.47,18881.29
491,53,Life,1327.54,46841.28
492,624,Vehicle,836.93,99142.49
493,897,Health,1630.83,22947.61
494,610,Health,1368.44,16343.01
495,875,Health,427.27,88182.37
496,708,Health,1343.55,84590.5
497,277,Vehicle,1530.28,24488.28
498,290,Health,291.63,66080.09
499,218,Health,907.71,95799.55
