PaymentID,LoanID,AmountPaid,PaymentDate,RemainingBalance
382,63,6598.27,2024-03-22,116376.67
383,63,32400.56,2024-07-29,83976.11
384,63,16178.12,2026-09-11,67797.99
385,63,4512.96,2027-01-24,63285.03
386,63,4812.97,2027-11-09,58472.06
387,63,12938.94,2028-11-07,45533.12
388,63,5730.74,2029-10-23,39802.38
389,63,11230.29,2030-03-28,28572.09
390,63,3650.65,2031-05-13,24921.44
391,64,37619.31,2021-12-10,421747.93
392,64,41074.09,2022-04-30,380673.84
393,64,61095.43,2022-06-15,319578.41
394,65,66242.24,2023-07-19,239138.05
395,65,29331.68,2023-08-23,209806.37
396,65,28647.6,2023-09-11,181158.77
397,65,16850.96,2024-01-26,164307.81
398,65,31274.59,2024-06-09,133033.22
399,65,29481.52,2024-11-14,103551.7
400,65,8998.58,2024-12-21,94553.12
401,66,79632.59,2022-03-14,246189.2
402,66,19855.54,2023-08-30,226333.66
403,66,33867.1,2023-11-04,192466.56
404,67,1752.05,2021-10-31,19192.89
405,67,5444.48,2022-02-14,13748.41
406,67,2974.97,2022-05-09,10773.44
407,67,1745.3,2022-06-09,9028.14
408,67,2682.99,2022-11-16,6345.15
409,67,370.59,2024-09-27,5974.56
410,67,1481.33,2025-02-11,4493.23
411,68,63752.65,2024-07-19,208050.72
412,68,51099.44,2026-04-07,156951.28
413,68,14232.42,2026-07-26,142718.86
414,68,11322.72,2026-10-05,131396.14
415,68,25093.53,2027-12-24,106302.61
416,68,7902.62,2028-04-22,98399.99
417,69,10556.31,2022-06-19,126585.21
418,69,11212.01,2022-07-24,115373.2
419,69,10581.92,2022-09-24,104791.28
420,69,12148.72,2023-01-13,92642.56
421,69,26252.22,2023-02-19,66390.34
422,69,17974.0,2029-01-13,48416.34
423,70,3234.56,2021-02-11,48093.24
424,70,12042.91,2021-03-09,36050.33
425,70,4339.82,2021-03-11,31710.51
426,70,7875.91,2021-04-12,23834.6
427,70,2732.25,2021-06-02,21102.35
428,70,4901.01,2021-07-02,16201.34
429,70,3782.19,2021-07-19,12419.15
430,70,2765.03,2021-10-20,9654.12
431,71,52136.95,2027-06-15,271056.3
432,71,19992.73,2029-04-23,251063.57
433,71,18685.27,2029-09-13,232378.3
434,71,57736.11,2030-04-23,174642.19
435,71,48059.69,2030-05-01,126582.5
436,71,22998.15,2030-12-20,103584.35
437,71,24303.59,2031-01-07,79280.76
438,71,22371.24,2031-02-17,56909.52
439,72,113218.34,2023-12-30,315751.15
440,72,58706.42,2024-05-03,257044.73
441,72,54136.04,2024-07-09,202908.69
442,72,48643.89,2024-10-07,154264.8
443,72,21110.39,2025-03-30,133154.41
444,72,29633.95,2025-04-11,103520.46
445,72,20974.64,2025-07-11,82545.82
446,72,22886.4,2025-12-06,59659.42
447,72,3409.39,2026-03-14,56250.03
448,72,16180.21,2026-03-16,40069.82
449,73,43939.15,2023-08-22,256196.82
450,73,60916.97,2024-12-10,195279.85
451,73,53947.23,2025-04-03,141332.62
452,73,19903.25,2026-03-28,121429.37
453,73,21715.41,2026-04-18,99713.96
454,73,23449.89,2026-05-30,76264.07
455,73,20117.78,2027-07-28,56146.29
456,73,13855.34,2028-07-10,42290.95
457,73,5170.28,2029-06-30,37120.67
458,74,48055.2,2023-12-05,226126.46
459,74,31725.04,2024-10-23,194401.42
460,74,14412.27,2027-10-10,179989.15
461,74,28739.81,2027-12-18,151249.34
462,74,8899.69,2028-12-10,142349.65
463,74,10809.64,2032-02-17,131540.01
464,75,34004.3,2022-03-03,135433.76
465,75,40391.5,2023-08-17,95042.26
466,75,27956.47,2023-12-18,67085.79
467,75,11727.16,2025-04-26,55358.63
468,75,3265.26,2027-04-08,52093.37
469,76,11916.53,2023-06-20,32204.67
470,76,8000.13,2025-09-12,24204.54
471,76,3909.21,2026-01-01,20295.33
472,76,4194.76,2026-02-03,16100.57
473,76,3072.55,2026-03-05,13028.02
474,76,3635.14,2026-06-05,9392.88
475,76,506.59,2027-01-07,8886.29
476,76,2252.39,2027-03-31,6633.9
477,76,447.93,2028-09-08,6185.97
478,77,39712.93,2025-07-17,270874.34
479,77,23113.58,2025-12-07,247760.76
480,77,31205.5,2026-11-30,216555.26
481,78,137386.94,2025-01-17,334114.8
482,78,49197.04,2025-06-01,284917.76
483,78,23773.9,2025-07-23,261143.86
484,78,17172.59,2026-07-18,243971.27
485,78,63708.22,2026-08-05,180263.05
486,78,16760.25,2026-11-21,163502.8
487,78,11985.41,2026-11-26,151517.39
488,79,72267.06,2022-11-21,328874.77
489,79,30140.33,2023-01-20,298734.44
490,79,60441.48,2023-02-21,238292.96
491,79,56336.83,2024-01-31,181956.13
492,79,38699.87,2024-03-15,143256.26
493,80,26489.6,2023-10-30,117504.54
494,80,14661.45,2026-03-21,102843.09
495,80,26823.13,2026-11-18,76019.96
496,80,7442.07,2027-01-16,68577.89
497,80,7137.68,2028-01-19,61440.21
498,80,11870.89,2028-02-27,49569.32
499,81,39294.46,2022-01-01,351950.4
500,81,40439.19,2022-01-28,311511.21
501,81,41050.38,2022-02-22,270460.83
502,82,34510.74,2020-11-28,120367.55
503,82,34455.18,2021-07-12,85912.37
504,82,24076.0,2022-07-04,61836.37
505,82,15722.91,2023-04-07,46113.46
506,82,9406.97,2023-08-01,36706.49
507,83,87011.85,2024-06-01,376018.69
508,83,102654.77,2025-02-07,273363.92
509,83,47193.25,2025-09-14,226170.67
510,83,50973.31,2027-04-26,175197.36
511,83,22241.94,2028-01-24,152955.42
512,83,41461.66,2030-10-24,111493.76
513,84,74292.47,2026-10-01,268815.91
514,84,55449.67,2027-07-26,213366.24
515,84,53244.74,2027-08-30,160121.5
516,84,29791.57,2027-10-30,130329.93
517,84,22208.67,2027-11-06,108121.26
518,84,30352.68,2027-11-30,77768.58
519,84,14558.28,2028-06-14,63210.3
520,85,104847.83,2021-09-03,341764.65
521,85,59222.52,2021-09-26,282542.13
522,85,84681.9,2021-11-20,197860.23
523,85,12132.39,2022-01-11,185727.84
524,85,15501.36,2022-01-31,170226.48
525,85,35795.87,2022-02-15,134430.61
526,85,33760.59,2022-02-20,100670.02
527,85,23928.93,2022-05-08,76741.09
528,85,21320.2,2022-06-11,55420.89
529,85,11104.78,2022-06-25,44316.11
530,86,113628.03,2024-07-12,293595.16
531,86,69488.2,2024-07-28,224106.96
532,86,24453.7,2025-02-11,199653.26
533,86,13395.61,2025-04-13,186257.65
534,86,46970.42,2025-05-06,139287.23
535,86,26973.79,2025-08-24,112313.44
536,86,19996.35,2025-12-18,92317.09
537,86,26671.1,2026-08-06,65645.99
538,86,13153.02,2026-10-13,52492.97
539,86,2658.32,2027-08-25,49834.65
540,87,109769.14,2023-12-13,348597.99
541,87,25601.6,2024-01-30,322996.39
542,87,36687.68,2028-01-03,286308.71
543,87,62750.42,2029-05-13,223558.29
544,88,26759.77,2025-07-11,165589.96
545,88,25502.83,2026-10-30,140087.13
546,88,29628.35,2027-10-25,110458.78
547,88,8097.63,2027-11-10,102361.15
548,88,27807.59,2029-07-24,74553.56
549,88,7144.33,2030-05-12,67409.23
550,89,77851.54,2023-04-25,272213.49
551,89,46152.37,2023-11-24,226061.12
552,89,23844.49,2024-05-26,202216.63
553,89,54978.24,2025-08-15,147238.39
554,90,97030.85,2021-02-24,279211.17
555,90,36788.18,2022-12-24,242422.99
556,90,50730.62,2023-01-11,191692.37
557,90,54547.01,2023-03-12,137145.36
558,90,37891.45,2023-04-07,99253.91
559,91,130787.79,2023-11-19,365048.03
560,91,77439.25,2024-02-23,287608.78
561,91,61675.22,2024-07-21,225933.56
562,91,12347.88,2024-12-02,213585.68
563,91,24695.38,2025-06-18,188890.3
564,91,16618.0,2025-07-08,172272.3
565,91,21343.34,2025-10-06,150928.96
566,91,8777.09,2025-11-20,142151.87
567,91,29235.8,2025-12-08,112916.07
568,92,91647.4,2028-08-16,363350.45
569,92,76249.9,2029-04-27,287100.55
570,92,18586.34,2030-01-30,268514.21
571,93,35379.1,2024-08-03,451867.4
572,93,48442.41,2025-12-11,403424.99
573,93,51151.03,2027-08-31,352273.96
574,94,3332.88,2024-07-12,16811.48
575,94,884.67,2024-11-28,15926.81
576,94,2560.51,2025-01-08,13366.3
577,94,1153.94,2026-07-14,12212.36
578,95,123368.52,2023-01-18,290531.48
579,95,46016.25,2023-02-19,244515.23
580,95,57953.93,2023-07-17,186561.3
581,95,21858.47,2024-02-17,164702.83
582,95,40738.46,2024-07-30,123964.37
583,95,10287.98,2025-05-22,113676.39
584,95,15458.49,2026-07-09,98217.9
585,95,14174.07,2027-07-03,84043.83
586,95,24143.07,2028-11-26,59900.76
587,96,30212.89,2021-08-27,106891.19
588,96,20377.22,2022-01-26,86513.97
589,96,8751.37,2022-07-22,77762.6
590,96,18713.8,2022-09-27,59048.8
591,96,9256.54,2023-05-06,49792.26
592,96,14444.67,2024-03-05,35347.59
593,96,5945.26,2024-03-31,29402.33
594,96,4261.5,2026-05-22,25140.83
595,97,15136.5,2026-08-06,89179.58
596,97,26232.82,2029-04-07,62946.76
597,97,12192.55,2030-08-12,50754.21
598,98,28655.82,2020-11-06,238251.82
599,98,24573.86,2021-01-06,213677.96
600,98,35699.76,2021-06-14,177978.2
601,98,42351.34,2021-10-08,135626.86
602,98,33858.12,2023-03-20,101768.74
603,98,28294.87,2023-06-27,73473.87
604,99,86471.81,2022-12-27,239673.63
605,99,17362.53,2022-12-27,222311.1
606,99,26450.18,2023-03-10,195860.92
607,99,24364.43,2023-06-15,171496.49
608,99,24431.94,2023-06-30,147064.55
609,99,16985.32,2023-07-31,130079.23
610,99,17773.28,2023-10-15,112305.95
611,100,19996.91,2025-10-18,248802.44
612,100,52163.22,2029-08-11,196639.22
613,100,39404.32,2029-10-12,157234.9
614,100,37595.88,2029-11-02,119639.02
615,101,33865.45,2024-07-28,237283.67
616,101,67383.93,2024-10-17,169899.74
617,101,25779.37,2025-02-28,144120.37
618,101,24519.9,2025-04-25,119600.47
619,101,29287.82,2025-05-18,90312.65
620,101,21818.79,2025-06-09,68493.86
621,101,15777.17,2026-05-25,52716.69
622,101,6296.6,2026-10-05,46420.09
623,102,40512.13,2024-02-13,401670.2
624,102,64937.29,2024-02-15,336732.91
625,102,25969.08,2024-03-22,310763.83
626,103,43329.74,2023-08-18,313305.28
627,103,42375.28,2023-10-17,270930.0
628,103,66524.13,2024-08-21,204405.87
629,103,48771.12,2025-05-24,155634.75
630,103,35748.4,2025-05-25,119886.35
631,103,11177.34,2025-09-02,108709.01
632,103,19822.45,2025-09-11,88886.56
633,103,24750.12,2026-12-11,64136.44
634,103,6266.34,2027-01-12,57870.1
635,104,59825.27,2021-10-16,337036.51
636,104,70541.32,2023-06-21,266495.19
637,104,44266.96,2023-07-30,222228.23
638,104,57626.92,2024-01-26,164601.31
639,104,48792.58,2024-04-02,115808.73
640,104,28368.09,2026-05-20,87440.64
641,104,11023.15,2027-06-04,76417.49
642,104,4819.7,2027-11-07,71597.79
643,104,20856.01,2027-11-29,50741.78
644,104,2785.42,2029-03-08,47956.36
645,105,54615.5,2026-02-02,196893.45
646,105,22438.84,2026-07-29,174454.61
647,105,32754.81,2027-08-25,141699.8
648,105,7175.66,2027-09-14,134524.14
649,105,7883.28,2028-01-28,126640.86
650,106,857.21,2022-06-06,11931.8
651,106,3092.48,2023-07-17,8839.32
652,106,750.88,2023-07-25,8088.44
653,106,607.28,2023-08-11,7481.16
654,106,497.04,2023-11-20,6984.12
655,106,451.13,2024-02-03,6532.99
656,106,804.84,2024-09-13,5728.15
657,106,565.96,2025-06-25,5162.19
658,106,1010.49,2026-11-28,4151.7
659,107,8546.13,2022-01-29,144764.06
660,107,41234.84,2022-06-14,103529.22
661,107,19906.92,2022-11-19,83622.3
662,107,9052.86,2022-12-14,74569.44
663,107,19914.53,2024-01-20,54654.91
664,107,4392.94,2025-01-17,50261.97
