PolicyID,CustomerID,InsuranceType,PremiumAmount,CoverageAmount
146,508,Travel,1684.02,27272.55
147,564,Health,593.54,14289.77
148,165,Life,197.22,3345.9
149,165,Vehicle,1502.21,38005.79
150,111,Life,327.51,9434.68
151,111,Vehicle,1936.47,27182.82
152,367,Health,835.96,25070.64
153,367,Travel,1654.13,46557.24
154,386,Vehicle,1894.37,40528.56
155,6,Property,1314.63,31185.84
156,487,Property,974.23,27138.41
157,723,Health,1271.33,27144.49
158,298,Life,623.84,8289.53
159,298,Property,869.43,12879.88
160,103,Health,1162.71,15444.51
161,606,Health,1600.33,38214.92
162,606,Travel,1438.23,31231.7
163,767,Vehicle,1399.81,40346.66
164,382,Health,730.37,18073.03
165,382,Health,1868.39,49991.82
166,177,Health,1980.9,35783.37
167,602,Travel,1281.67,13495.38
168,602,Property,154.63,4328.2
169,320,Property,627.27,15361.07
170,320,Life,1797.88,31592.66
171,989,Health,1483.16,30102.89
172,344,Property,1919.54,44150.63
173,247,Property,1915.69,43327.43
174,267,Health,1285.0,38438.89
175,267,Health,1657.7,17374.72
176,235,Health,697.89,17611.39
177,363,Property,1899.36,42404.2
178,549,Vehicle,207.01,5473.01
179,549,Travel,1827.46,47978.81
180,842,Health,1016.44,20086.75
181,164,Travel,1858.33,54779.36
182,85,Travel,564.22,5891.02
183,881,Vehicle,314.42,8142.61
184,557,Vehicle,1172.94,22967.29
185,352,Vehicle,1519.04,43952.74
186,352,Property,1402.77,33531.18
187,544,Travel,1020.06,10218.18
188,544,Health,990.78,28371.52
189,608,Property,459.47,10078.25
190,608,Life,1126.19,33538.66
191,893,Life,883.38,16501.91
192,376,Travel,1191.5,14112.88
193,376,Vehicle,208.15,5602.31
194,864,Vehicle,356.76,8411.74
195,520,Vehicle,1350.18,39661.08
196,789,Life,967.24,26220.47
197,128,Travel,1388.4,20002.57
198,128,Health,642.07,10112.91
199,337,Health,633.58,10129.04
200,903,Vehicle,1254.63,27374.72
201,306,Life,152.51,4439.73
202,306,Health,1918.64,23281.23
203,41,Health,1364.59,31070.29
204,113,Property,1686.67,31691.68
205,757,Health,1686.6,32960.11
206,179,Vehicle,236.5,6517.86
207,60,Property,904.66,17018.08
208,60,Property,1070.28,24793.58
209,307,Vehicle,910.93,23768.46
210,307,Travel,345.93,5978.76
211,612,Life,460.5,12185.44
212,427,Vehicle,1216.35,21463.6
213,427,Property,1654.77,25759.56
214,636,Life,288.16,4622.66
215,668,Vehicle,1970.84,51359.79
216,403,Health,1617.08,25969.18
217,34,Health,474.43,5457.97
218,34,Property,1694.84,19482.36
219,899,Vehicle,1955.01,40729.4
220,377,Property,833.1,20870.77
221,532,Property,854.57,22716.6
222,532,Vehicle,1911.28,33725.34
223,1,Health,488.25,11638.78
224,1,Health,1911.95,20679.51
225,815,Travel,1690.1,26416.31
226,331,Life,856.05,15878.55
227,331,Life,135.29,3075.18
228,568,Travel,749.2,19539.3
229,975,Property,1195.98,18916.58
230,975,Property,1802.12,41445.52
231,831,Vehicle,333.31,4150.67
232,831,Life,847.78,12600.58
233,48,Health,399.18,8028.75
234,48,Travel,1704.8,35758.61
235,662,Life,1309.07,34276.03
236,662,Travel,1813.42,48240.6
237,69,Health,490.85,12112.04
238,69,Vehicle,395.22,5991.26
239,213,Health,140.8,3839.94
240,935,Life,1829.57,26465.42
241,935,Vehicle,1228.76,17920.21
242,76,Health,414.47,10528.82
243,76,Property,1189.5,11935.38
244,772,Life,1864.75,19098.67
245,772,Vehicle,388.83,5759.13
246,943,Vehicle,1809.38,40010.49
247,943,Travel,1468.02,34782.57
248,624,Health,1982.08,21220.79
249,624,Life,1932.55,46628.32
250,751,Vehicle,367.99,6250.49
251,751,Life,1612.31,33341.52
252,747,Property,1698.07,23873.0
253,974,Life,524.74,13656.27
254,974,Vehicle,1445.52,20387.08
255,154,Vehicle,1172.88,32642.73
256,154,Travel,162.15,4673.75
257,633,Health,844.48,13694.53
258,633,Property,841.87,19172.57
259,805,Travel,502.82,12777.16
260,805,Property,1427.93,21458.78
261,428,Health,1504.54,33875.21
262,428,Property,472.9,13108.99
263,343,Life,1766.73,34247.58
264,343,Life,795.91,19946.81
265,683,Health,1009.34,29287.19
266,574,Health,753.5,17704.92
267,960,Life,1607.44,35272.9
268,861,Travel,1980.39,23170.46
269,861,Vehicle,739.37,10443.48
270,753,Vehicle,576.33,6700.19
271,97,Property,1490.17,30400.74
272,97,Property,293.57,7695.11
273,147,Life,660.41,8848.33
274,796,Life,884.22,13148.07
275,796,Health,765.33,13715.03
276,993,Travel,191.3,2874.13
277,66,Health,1641.52,37955.25
278,500,Life,1024.61,11139.39
279,500,Health,574.28,7428.29
280,883,Health,1111.66,17252.81
281,883,Health,1673.41,24140.81
282,795,Travel,1355.19,34114.07
283,188,Vehicle,1352.24,19875.56
284,188,Travel,1005.4,20950.13
285,605,Health,740.28,13055.29
286,605,Vehicle,1340.82,37748.79
287,922,Vehicle,1859.68,44359.92
288,922,Life,1455.37,36668.1
289,145,Vehicle,335.93,9412.29
290,83,Travel,989.28,28093.13
291,236,Property,1826.11,30083.87
292,733,Health,349.38,4294.44
293,88,Health,1070.69,14772.86
294,88,Life,1942.55,20458.9
295,571,Health,423.74,4812.89
296,253,Travel,413.93,6666.29
297,288,Health,1996.19,53277.71
298,708,Life,628.47,11238.79
299,708,Health,1180.57,16201.28
300,713,Health,106.75,2591.78
301,121,Health,383.1,8205.37
302,121,Property,1935.38,33371.13
303,398,Vehicle,646.4,7539.07
304,704,Health,1145.12,23689.99
305,600,Property,1994.57,52986.13
306,600,Life,1624.28,35533.11
307,482,Vehicle,1679.22,31340.51
