FraudID,CustomerID,TransactionID,RiskLevel,ReportedDate
54,768,3215,High,2024-08-29 03:57:12
55,999,3836,Low,2024-10-01 00:02:26
56,35,842,Medium,2024-06-27 21:30:17
57,428,944,High,2024-11-09 11:42:26
58,974,1708,Medium,2025-04-07 05:44:58
59,219,935,Critical,2024-12-25 10:07:55
60,145,2817,Low,2024-09-08 16:01:06
61,988,4310,Medium,2024-09-18 17:51:04
62,805,465,Low,2024-10-16 22:02:02
63,597,2248,Critical,2024-08-07 21:56:44
64,889,949,Low,2025-05-20 21:10:26
65,648,3791,High,2025-03-24 01:54:23
66,928,2642,High,2025-04-24 01:41:05
67,829,3357,Low,2024-07-26 17:29:52
68,150,1312,Critical,2025-03-17 23:35:15
69,613,3913,Critical,2025-04-20 10:45:25
70,201,2409,High,2025-05-19 06:39:45
71,562,709,Medium,2024-12-10 14:11:35
72,643,511,Low,2024-11-05 16:20:23
73,946,3409,High,2024-12-24 18:45:37
74,693,1106,Critical,2025-05-15 22:11:15
75,615,4302,Low,2024-10-18 14:58:59
76,488,150,High,2024-10-19 14:58:49
77,340,2364,Critical,2024-07-23 09:38:21
78,589,235,High,2024-09-24 12:19:05
79,997,185,Low,2024-11-07 20:27:07
80,737,1455,Low,2025-04-06 14:23:42
81,301,2682,Critical,2024-07-27 02:09:05
82,100,3323,Low,2025-04-16 22:45:23
83,82,3826,Low,2025-02-02 15:54:23
84,693,2264,Medium,2024-09-01 19:34:38
85,348,1507,Low,2024-07-08 14:00:07
86,94,725,High,2024-07-22 18:15:53
87,227,1303,Critical,2025-01-07 00:41:36
88,740,2603,High,2025-01-13 15:47:02
89,797,243,Medium,2024-10-13 18:24:25
90,563,801,High,2024-12-12 00:53:30
91,504,675,Critical,2025-05-02 14:28:59
92,326,1940,Critical,2024-12-05 15:41:31
93,276,4222,High,2024-09-15 06:39:48
94,27,2690,Critical,2024-10-02 00:11:40
95,645,3957,Critical,2024-07-27 10:17:25
96,391,969,Medium,2024-07-05 01:03:16
97,29,4294,Critical,2024-07-21 19:39:10
98,202,4610,High,2024-06-28 04:38:41
99,982,1675,Medium,2024-12-15 03:33:06
100,582,2145,Low,2024-08-30 10:34:41
101,599,2990,High,2024-10-10 14:48:34
102,158,4694,High,2025-03-18 01:19:45
103,270,2360,Medium,2024-11-05 02:06:02
104,598,2803,Low,2025-01-27 01:55:14
105,334,569,High,2025-02-09 06:48:28
106,516,3031,Medium,2025-02-06 18:33:36
107,585,4684,High,2024-11-10 19:22:49
108,492,1602,High,2024-08-17 16:41:43
109,455,2453,Medium,2025-01-08 01:06:51
110,510,1745,Low,2025-04-27 22:47:37
111,868,1840,High,2024-08-08 06:01:44
112,112,3040,Low,2024-11-08 09:56:54
113,514,3303,Critical,2025-03-01 22:33:28
114,321,1607,High,2024-10-14 18:55:46
115,881,3411,Critical,2024-11-01 13:09:54
116,708,2758,Medium,2025-02-22 20:36:43
117,362,272,Medium,2024-11-11 15:09:10
118,948,83,High,2024-07-18 12:30:22
119,609,2515,Low,2025-03-06 23:27:45
120,915,1912,Low,2025-01-23 01:12:13
121,930,2381,Critical,2024-08-09 08:04:38
122,632,1642,Medium,2025-04-16 02:40:49
123,436,4227,High,2024-06-24 15:36:45
124,561,402,High,2024-08-04 16:23:53
125,811,1905,Critical,2025-06-21 05:20:30
126,751,2198,Low,2024-11-17 05:42:48
127,95,2659,Medium,2025-05-03 12:06:07
128,809,1228,Medium,2024-09-18 06:32:12
129,810,4640,Critical,2024-08-18 03:01:00
130,613,707,Low,2024-08-06 17:39:47
131,238,343,Low,2024-12-23 21:30:09
132,613,1864,High,2025-01-13 16:07:33
133,979,3902,Low,2024-11-16 17:57:16
134,112,219,High,2024-09-23 16:29:23
135,73,187,Medium,2024-11-19 19:51:25
136,980,1579,Critical,2024-09-19 00:11:22
137,386,529,Critical,2025-04-13 20:56:03
138,250,4306,Medium,2025-04-09 23:28:12
139,14,4309,Low,2025-02-16 01:36:44
140,511,3114,Medium,2025-01-25 02:00:43
141,148,4686,Critical,2025-06-04 04:17:49
142,628,1837,Critical,2025-02-03 09:42:20
143,35,2095,Low,2024-08-19 06:04:27
144,894,1807,Medium,2025-02-07 10:13:34
145,370,2822,High,2024-12-04 09:25:47
146,528,4346,Low,2024-09-08 09:13:57
147,49,4443,High,2024-09-11 21:25:54
148,272,1092,Low,2024-08-28 19:49:30
149,663,4814,Medium,2024-08-18 18:57:11
150,514,651,Low,2025-04-22 10:37:54
151,292,3858,Low,2024-09-14 04:00:17
152,71,3262,Medium,2025-05-08 17:22:50
153,862,977,Medium,2024-11-03 13:25:09
154,491,2,Low,2024-08-14 04:01:08
155,7,1537,High,2024-09-01 11:55:15
156,941,1163,Medium,2025-04-28 14:04:06
157,262,1769,Critical,2025-06-05 14:00:33
158,101,3797,Medium,2024-08-20 18:01:44
159,29,3696,Low,2025-03-10 20:32:35
160,176,1673,Low,2025-05-18 22:34:42
161,67,1325,Critical,2024-12-24 10:00:05
162,726,2457,High,2024-08-22 02:07:11
163,232,4803,High,2025-01-14 21:07:00
164,425,1447,Critical,2025-03-03 00:10:11
165,345,1867,Critical,2025-02-15 12:58:29
166,311,4140,Critical,2024-10-15 03:03:11
167,896,1692,Medium,2025-01-06 14:50:41
168,255,991,Critical,2024-07-27 03:33:22
169,988,3314,Critical,2025-01-13 20:03:36
170,124,4372,High,2024-07-12 02:24:33
171,666,4678,Critical,2025-02-13 20:33:21
172,328,3804,Low,2025-04-15 04:01:58
173,176,4595,High,2025-04-18 07:11:12
174,974,2661,Medium,2024-06-23 21:44:23
175,610,3905,Critical,2025-04-23 13:19:29
176,491,2065,Low,2024-06-26 13:09:53
177,84,4409,Critical,2024-08-22 16:48:00
178,682,857,Critical,2024-09-07 14:41:18
179,94,3134,Critical,2024-12-13 04:03:17
180,191,1292,Critical,2024-12-21 16:57:02
181,570,1696,High,2025-01-10 15:49:18
182,10,3219,Low,2025-03-29 01:25:21
183,431,4725,Medium,2024-10-19 04:49:07
184,46,1155,Medium,2025-01-27 04:18:56
185,14,4764,Critical,2025-01-29 11:32:39
186,544,1589,Medium,2025-01-21 20:37:26
187,443,3652,High,2024-09-23 23:20:41
188,660,2946,Critical,2024-09-17 15:47:52
189,300,3641,Low,2025-03-09 03:02:45
190,255,4461,Medium,2025-03-29 16:24:01
191,749,4439,High,2024-09-23 01:01:35
192,367,2051,Medium,2025-03-08 15:26:51
193,860,3825,High,2024-12-15 07:25:14
194,177,1189,Medium,2024-12-27 09:48:50
195,462,1215,Critical,2025-02-14 21:01:08
196,693,3866,Medium,2024-10-24 05:00:20
197,648,424,Medium,2025-03-02 21:38:24
198,519,1435,Medium,2025-05-15 03:10:11
199,661,3660,Low,2024-10-12 02:16:44
200,537,1265,Low,2024-10-11 19:32:16
