InvestmentID,CustomerID,InvestmentType,Amount,ROI,MaturityDate
154,575,Stocks,32397.76,11.09,8/12/2028
155,878,Stocks,91285.5,8.62,1/13/2026
156,531,Bonds,56808.54,9.4,10/23/2027
157,182,Mutual Funds,98293.53,3.47,9/13/2029
158,85,Stocks,89929.91,4.04,4/22/2026
159,818,Mutual Funds,78992.36,2.56,7/17/2026
160,445,Bonds,8421.42,3.42,3/6/2027
161,926,Bonds,17964.8,10.93,7/1/2026
162,775,Mutual Funds,11114.49,3.8,12/17/2028
163,325,Bonds,13922.75,14.55,11/23/2029
164,520,Bonds,29770.28,7.82,7/25/2025
165,188,Mutual Funds,19176.15,13.78,10/7/2027
166,261,Stocks,72668.85,2.39,5/8/2026
167,172,Bonds,88689.08,2.86,7/12/2028
168,45,Bonds,25311.34,1.65,4/24/2029
169,72,Mutual Funds,16507.98,11.67,7/29/2028
170,121,Stocks,29871.39,13.8,10/8/2026
171,407,Mutual Funds,42471.91,13.76,5/18/2027
172,677,Bonds,51794.14,1.36,5/20/2027
173,995,Stocks,49529.22,9.35,12/29/2026
174,273,Stocks,61888.17,4.02,10/3/2027
175,487,Bonds,8956.74,7.82,8/18/2027
176,908,Mutual Funds,53968.72,12.23,2/13/2030
177,544,Stocks,31004.35,10.14,8/6/2025
178,731,Mutual Funds,73891.78,7.93,8/20/2026
179,630,Stocks,56104.71,12.38,5/20/2030
180,70,Mutual Funds,16183.03,8.12,2/24/2029
181,279,Mutual Funds,75181.86,5.9,4/4/2030
182,809,Mutual Funds,34261.78,13.69,1/29/2027
183,269,Stocks,37947.79,6.64,7/29/2025
184,297,Mutual Funds,35351.53,12.29,8/10/2026
185,596,Stocks,69706.97,1.76,10/24/2027
186,901,Stocks,5653.89,7.47,7/3/2028
187,886,Stocks,55331.05,10.91,1/16/2029
188,998,Mutual Funds,62102.36,3.3,6/5/2030
189,885,Bonds,47787.06,11.2,9/20/2025
190,724,Bonds,5684.1,13.73,12/5/2029
191,345,Mutual Funds,25601.08,11.05,10/17/2027
192,121,Mutual Funds,16494.14,11.71,6/28/2029
193,982,Bonds,17705.47,4.77,5/25/2028
194,293,Mutual Funds,78120.71,12.33,9/6/2027
195,952,Bonds,62894.45,4.46,3/18/2026
196,14,Bonds,58080.48,8.64,8/20/2028
197,339,Bonds,78379.52,7.57,8/24/2026
198,451,Stocks,24534.22,6.25,5/4/2028
199,683,Bonds,52495.99,8.89,7/29/2025
200,983,Bonds,32614.76,2.13,2/16/2027
201,207,Mutual Funds,1443.16,6.97,6/21/2028
202,415,Bonds,62530.52,5.19,3/3/2027
203,624,Mutual Funds,58256.45,12.99,5/15/2029
204,40,Bonds,21653.86,11.08,3/31/2030
205,174,Mutual Funds,96321.7,2.56,10/11/2026
206,400,Bonds,53748.06,4.05,9/18/2027
207,71,Bonds,63807.41,11.77,6/10/2027
208,311,Bonds,3512.49,11.05,12/13/2028
209,610,Stocks,91373.45,9.56,3/14/2029
210,392,Bonds,2913.63,12.6,4/14/2027
211,766,Mutual Funds,28796.88,5.21,10/5/2025
212,655,Bonds,57492.63,12.31,2/21/2027
213,551,Stocks,83870.13,10.98,6/22/2025
214,35,Mutual Funds,14242.78,12.72,8/7/2029
215,240,Bonds,90361.93,2.15,9/16/2028
216,500,Bonds,87936.54,14.89,7/14/2028
217,650,Bonds,19748.99,9.7,4/24/2030
218,948,Mutual Funds,73791.5,5.9,4/29/2030
219,260,Bonds,96395.37,7.64,3/6/2029
220,677,Bonds,23657.11,10.39,3/25/2028
221,108,Bonds,38083.49,3.68,7/29/2025
222,449,Stocks,42786.91,13.17,3/7/2028
223,902,Stocks,54570.72,12.53,6/15/2030
224,335,Bonds,20897.2,10.03,11/25/2028
225,774,Bonds,45238.82,9.28,6/14/2026
226,407,Stocks,76878.76,6.91,1/23/2027
227,52,Mutual Funds,54007.25,9.52,1/5/2026
228,499,Bonds,99702.42,8.08,9/10/2029
229,328,Stocks,88883.5,9.27,8/6/2026
230,683,Bonds,99434.4,14.06,2/21/2030
231,860,Stocks,43159.63,6.87,12/30/2029
232,651,Stocks,62765.02,5.62,12/5/2027
233,108,Mutual Funds,55369.37,11.51,6/21/2026
234,520,Mutual Funds,45093.26,10.02,10/2/2025
235,723,Bonds,20219.95,3.53,6/24/2027
236,487,Mutual Funds,45806.46,8.12,9/4/2025
237,331,Bonds,32486.66,4.99,8/20/2029
238,489,Mutual Funds,46752.66,6.56,12/29/2029
239,534,Mutual Funds,79689.74,11.33,1/25/2027
240,566,Mutual Funds,51244.24,3.67,6/7/2029
241,554,Bonds,86320.99,4.97,10/11/2029
242,967,Mutual Funds,23932.56,3.33,3/10/2029
243,478,Mutual Funds,37152.13,2.15,11/18/2027
244,983,Stocks,72876.29,5.5,4/6/2028
245,373,Stocks,47805.54,1.72,10/11/2028
246,87,Mutual Funds,35083.98,14.22,4/3/2027
247,393,Stocks,39584.48,13.43,5/9/2030
248,639,Mutual Funds,54238.83,8.56,10/28/2026
249,842,Bonds,13452.69,14.82,4/24/2027
250,602,Stocks,3624.74,8.82,9/1/2027
251,261,Bonds,24577.89,2.43,4/24/2026
252,737,Bonds,93297,13.97,9/26/2028
253,41,Bonds,97569.6,6.63,1/18/2029
254,317,Mutual Funds,78126.69,13.07,7/9/2025
255,245,Bonds,34138.38,10.72,11/23/2026
256,552,Stocks,52008.78,3.82,6/27/2026
257,822,Stocks,23446.84,2.24,6/26/2027
258,596,Stocks,65435.24,6.01,9/7/2025
259,293,Mutual Funds,33144.85,9.09,5/3/2027
260,169,Mutual Funds,80314.74,14.46,1/21/2028
261,179,Mutual Funds,1790.45,14.12,1/7/2026
262,404,Bonds,44042.44,3.91,3/12/2029
263,512,Mutual Funds,45397.44,10.77,6/14/2027
264,90,Stocks,57172.18,1.3,5/11/2029
265,865,Mutual Funds,93345.11,1,8/30/2026
266,21,Stocks,89692.38,11.47,8/5/2027
267,409,Bonds,85059,7.53,9/3/2027
268,14,Mutual Funds,72035.35,12.55,9/15/2029
269,816,Bonds,31535.63,9.75,3/27/2026
270,722,Mutual Funds,89387.5,6.48,1/21/2026
271,998,Stocks,95385.81,10.73,6/1/2027
272,797,Bonds,35222.94,3.07,4/26/2027
273,750,Mutual Funds,76552.58,14.07,7/8/2026
274,166,Bonds,7180.43,2.19,8/16/2028
275,137,Mutual Funds,12526.65,14.39,8/9/2027
276,378,Stocks,46194.02,14.81,2/27/2027
277,914,Stocks,97644.45,2.02,9/2/2026
278,607,Bonds,86566.23,11.43,10/8/2028
279,930,Stocks,38220.36,5.04,7/28/2029
280,621,Stocks,22047.52,1.35,9/8/2026
281,840,Mutual Funds,5796.69,11.52,4/15/2027
282,904,Mutual Funds,5399.19,7.14,9/19/2025
283,773,Bonds,31542.3,1.28,6/28/2028
284,227,Bonds,99069.68,13.74,3/15/2026
285,272,Mutual Funds,12591.24,11.41,5/9/2027
286,10,Bonds,55212.54,12.99,1/15/2026
287,208,Stocks,92936.28,14.45,8/14/2026
288,228,Stocks,85822.6,12.95,7/24/2029
289,232,Bonds,60256,6.28,9/7/2027
290,106,Bonds,29385.21,9.94,7/28/2028
291,860,Mutual Funds,22906.8,5.88,12/12/2029
292,306,Stocks,38597.13,8.86,10/6/2027
293,755,Bonds,69778.01,8.4,11/8/2029
294,592,Mutual Funds,19514.06,14.32,1/13/2030
295,625,Mutual Funds,45934.81,13.21,10/13/2025
296,198,Mutual Funds,13935.7,8.41,2/14/2028
297,33,Stocks,81409.87,5.06,7/30/2028
298,640,Bonds,22329.32,6.04,1/20/2028
299,944,Bonds,65896.72,14.77,8/3/2026
300,70,Stocks,7572,9.4,8/14/2029
301,822,Mutual Funds,81092.09,4.68,9/24/2026
302,693,Mutual Funds,71774,5.87,1/1/2028
303,330,Stocks,88621.1,5.72,7/21/2028
304,375,Stocks,94432.24,2.18,5/15/2030
305,587,Bonds,37114.91,8.97,8/23/2026
306,500,Stocks,34336.9,14.48,12/8/2028
307,881,Bonds,97095.38,6.05,9/30/2026
308,679,Mutual Funds,57192.2,4.64,1/18/2028
309,152,Stocks,1447.84,1.53,12/7/2025
310,780,Stocks,50934.03,10.33,8/4/2027
311,2,Mutual Funds,45752.03,4.46,2/17/2027
312,764,Mutual Funds,43523.36,12.87,6/11/2026
313,966,Stocks,7602.24,14.39,7/1/2026
314,102,Stocks,4355.21,6.7,12/10/2026
315,497,Mutual Funds,47681.23,3.02,12/29/2029
316,42,Stocks,53100.19,8.72,6/6/2026
317,322,Bonds,18354.57,10.49,8/23/2025
318,340,Mutual Funds,43912.15,10.86,12/5/2029
319,393,Stocks,19098.59,9.64,12/4/2025
320,976,Mutual Funds,64692.15,12.3,8/11/2027
321,291,Stocks,46538.83,1.25,11/7/2025
322,987,Bonds,50289.89,9.41,9/9/2025
323,148,Mutual Funds,22434,13.14,2/22/2026
324,661,Bonds,75651.91,12.7,1/19/2030
325,477,Stocks,83487.47,4.52,9/9/2027
326,529,Mutual Funds,49754.77,11.01,3/14/2026
327,343,Mutual Funds,96354.93,14.88,8/21/2026
328,777,Mutual Funds,19603.17,8.86,11/25/2028
329,928,Mutual Funds,67024.76,10.24,5/26/2028
330,342,Stocks,46749.71,6.1,8/21/2028
331,143,Stocks,31112.4,7.76,12/27/2029
332,41,Bonds,52584.77,10.77,2/3/2026
333,704,Bonds,39682.9,7.47,3/16/2030
334,255,Stocks,36832.41,3.99,3/21/2026
335,162,Bonds,84416.61,5.3,9/16/2025
336,572,Stocks,16442.64,12.47,10/9/2026
337,781,Stocks,86745.14,5.72,8/24/2025
338,436,Stocks,31103.85,3.95,7/1/2025
339,242,Mutual Funds,68335,2.92,7/14/2027
340,974,Stocks,85827.17,2,1/1/2026
341,918,Bonds,26404.49,7.76,3/6/2026
342,950,Stocks,25647.62,1.79,10/2/2028
343,617,Bonds,74224.77,13.59,10/25/2029
344,88,Mutual Funds,32221.43,3.32,9/29/2025
345,218,Mutual Funds,50004.31,12.83,2/13/2030
346,834,Stocks,69522.02,1.27,10/25/2027
347,774,Bonds,22421.57,1.5,3/16/2029
348,782,Stocks,58807.26,1.75,11/5/2026
349,595,Mutual Funds,89603.26,4.38,6/18/2027
350,261,Stocks,66697.27,12.74,12/27/2029
351,714,Stocks,6429.5,8.41,10/3/2025
352,493,Bonds,50878.68,10.34,4/17/2027
353,402,Bonds,33408.19,10.39,5/29/2027
354,160,Stocks,35802.82,12.89,1/1/2028
355,451,Bonds,52734.48,7.55,9/11/2026
356,376,Mutual Funds,44037.82,11.75,3/25/2026
357,301,Bonds,96920.96,9.14,8/15/2029
358,507,Bonds,34786.4,2.21,11/28/2029
359,216,Stocks,80568.5,2.83,9/28/2028
360,418,Bonds,31901.4,4.91,4/4/2026
361,879,Stocks,76540.23,3.42,10/23/2027
362,435,Bonds,6743.77,14.45,10/30/2027
363,364,Stocks,19898.95,12.09,6/13/2029
364,999,Bonds,61299.07,7.3,6/17/2029
365,706,Bonds,18981.12,1.3,5/25/2029
366,938,Mutual Funds,23017.98,5.45,12/27/2025
367,903,Bonds,45490.89,4.09,9/19/2029
368,182,Bonds,6021.59,9.25,8/22/2027
369,530,Bonds,71408.68,3.98,9/20/2028
370,151,Stocks,99472.89,13.88,7/19/2027
371,347,Mutual Funds,35770.14,4.05,12/21/2026
372,479,Stocks,63539.61,13.78,6/16/2028
373,480,Mutual Funds,43743.47,1.87,10/2/2027
374,793,Mutual Funds,95475.73,5.48,10/1/2027
375,550,Bonds,51418.62,7.36,2/12/2030
376,824,Bonds,99136.02,5.2,8/2/2027
377,831,Mutual Funds,79701.02,12.99,2/24/2028
378,931,Mutual Funds,59091.08,1.95,1/6/2029
379,693,Mutual Funds,88161.66,8.98,11/6/2028
380,225,Mutual Funds,3824.74,4.43,4/21/2027
381,504,Mutual Funds,92755.29,14.99,12/21/2026
382,954,Stocks,92052.77,10.37,4/24/2028
383,693,Mutual Funds,87757.49,5.37,12/30/2026
384,885,Stocks,94497.96,8.34,1/24/2030
385,728,Stocks,41415.21,7.54,7/14/2025
386,118,Mutual Funds,3088.28,5.39,7/8/2026
387,325,Bonds,8778.74,14.02,12/2/2026
388,356,Bonds,37017.5,2.36,1/27/2030
389,506,Bonds,80853.18,9.76,6/24/2028
390,126,Mutual Funds,52597.97,12.13,6/1/2030
391,621,Bonds,88671.39,2.21,11/16/2029
392,569,Mutual Funds,61209.29,1.9,5/1/2027
393,74,Mutual Funds,50776.84,12.67,6/9/2026
394,607,Bonds,90483.61,12.53,2/24/2026
395,747,Stocks,88338.81,8.1,10/21/2025
396,658,Stocks,36256.2,6.68,8/23/2025
397,664,Bonds,19425.63,6.46,12/18/2025
398,384,Mutual Funds,87760.42,1.97,9/26/2029
399,99,Bonds,62873.81,14.79,4/19/2028
