FXID,CustomerID,CurrencyPair,ExchangeRate,AmountExchanged
128,671,EUR/GBP,1.009,8175.27
129,435,GBP/USD,1.4065,5202.74
130,502,EUR/JPY,0.8108,2258.05
131,873,USD/CNY,0.5747,6005.3
132,873,NZD/USD,0.6124,9776.99
133,873,USD/CHF,1.4773,2898.22
134,872,GBP/USD,0.6299,7982.61
135,872,GBP/USD,1.1735,457.77
136,314,USD/CNY,0.8398,1219.18
137,314,NZD/USD,1.4729,9328.12
138,314,USD/EUR,0.6813,9607.78
139,936,USD/EUR,1.1236,8873.6
140,368,USD/EUR,1.1376,6288.12
141,368,USD/CHF,1.0898,8310.64
142,710,USD/CHF,0.5427,235.49
143,710,EUR/JPY,1.3031,611.8
144,710,EUR/GBP,0.872,2635.9
145,204,USD/JPY,0.6138,3123.65
146,204,USD/JPY,1.2598,7121.42
147,204,AUD/USD,1.4382,7779.37
148,371,USD/CAD,0.7033,3913.22
149,371,USD/CNY,0.5146,3193.63
150,371,GBP/USD,1.3986,9113.14
151,955,USD/CNY,0.7771,7649.23
152,716,AUD/USD,0.7344,4739.21
153,716,USD/JPY,1.4031,788.5
154,716,USD/JPY,1.2108,3696.68
155,663,USD/CHF,0.8345,9357.33
156,663,GBP/USD,1.0024,8489.35
157,663,EUR/JPY,0.7133,3314.44
158,71,GBP/USD,1.1395,1794.07
159,71,AUD/USD,0.9644,9424.13
160,187,GBP/USD,0.7355,6019.22
161,187,USD/CNY,1.0997,8836.18
162,808,EUR/JPY,1.0781,1058.81
163,808,EUR/JPY,0.8266,6101.45
164,808,USD/JPY,1.2876,1172.67
165,437,USD/CHF,1.4044,4960.22
166,437,AUD/USD,0.6557,7941.69
167,437,USD/CHF,0.6294,8727.75
168,211,USD/EUR,0.9365,6684.12
169,829,EUR/GBP,0.9979,4231.72
170,829,NZD/USD,0.9652,5423.19
171,829,AUD/USD,0.8608,826.0
172,389,NZD/USD,0.9107,3231.19
173,835,GBP/USD,0.8421,9493.56
174,835,USD/EUR,1.1138,4805.37
175,193,NZD/USD,1.4999,7686.84
176,193,GBP/USD,1.0993,8746.25
177,164,USD/CAD,0.9717,2228.97
178,164,USD/EUR,0.7956,8019.31
179,164,GBP/USD,1.295,7714.8
180,93,USD/CNY,1.2617,7393.12
181,951,NZD/USD,0.8838,4798.79
182,951,NZD/USD,1.1516,4357.98
183,951,USD/JPY,0.8437,4191.53
184,996,USD/JPY,1.3592,5112.65
185,996,EUR/GBP,1.0632,9419.97
186,996,USD/CNY,0.9625,3708.72
187,889,USD/CHF,1.4847,7660.88
188,889,NZD/USD,0.6552,7124.55
189,287,USD/CNY,0.7692,7276.82
190,287,GBP/USD,0.8504,3257.19
191,13,GBP/USD,0.9259,9024.16
192,26,NZD/USD,0.679,5865.5
193,26,NZD/USD,1.1176,8750.87
194,923,AUD/USD,1.2023,4564.19
195,923,USD/CNY,1.3326,2348.31
196,138,AUD/USD,0.9146,6742.27
197,138,NZD/USD,1.1984,3404.15
198,816,USD/CNY,1.0627,7026.19
199,816,USD/CNY,0.6471,7316.7
200,816,NZD/USD,1.1291,8151.38
201,335,USD/JPY,1.2605,599.98
202,335,USD/CNY,0.5291,3842.03
203,335,EUR/GBP,1.4894,1693.88
204,201,EUR/JPY,0.5506,1241.39
205,201,EUR/GBP,0.8436,7980.66
206,819,USD/CAD,0.817,1301.26
207,323,USD/CAD,0.9528,1127.19
208,323,USD/CNY,1.2094,9148.05
209,323,AUD/USD,0.9791,1679.97
210,41,USD/CAD,0.7474,6375.29
211,41,USD/EUR,0.6399,8385.16
212,41,USD/CHF,0.5156,2309.96
213,64,USD/JPY,1.2785,4561.87
214,64,USD/JPY,0.9692,5579.46
215,477,USD/EUR,0.6103,2630.55
216,258,USD/CNY,0.7724,3402.0
217,824,USD/CAD,1.0962,7022.05
218,824,USD/CAD,1.3623,9467.76
219,824,USD/CHF,1.3546,5746.57
220,744,USD/EUR,0.9691,3293.94
221,744,USD/CAD,1.222,7437.16
222,744,USD/CAD,0.7009,6408.98
223,70,EUR/GBP,0.6891,7222.36
224,386,EUR/GBP,1.0948,5328.78
225,593,NZD/USD,1.4656,153.08
226,556,NZD/USD,0.5339,1383.04
227,384,USD/CAD,0.9351,1246.73
228,491,USD/CHF,0.9943,1592.7
229,491,AUD/USD,0.8688,1605.63
230,443,USD/CNY,1.1189,9644.33
231,443,EUR/GBP,1.1861,5106.17
232,443,USD/CNY,1.266,9486.33
233,174,USD/CNY,1.0836,6928.01
234,581,USD/EUR,1.0872,9912.33
235,581,EUR/JPY,1.1972,7112.32
236,692,NZD/USD,1.4646,2444.1
237,692,EUR/JPY,0.8145,1866.47
238,692,EUR/GBP,1.227,1829.51
239,414,USD/CNY,1.0733,6815.17
240,414,GBP/USD,0.5528,9229.35
241,664,EUR/GBP,0.7106,246.89
242,664,USD/CHF,1.0199,1957.03
243,104,EUR/JPY,0.9931,6319.77
244,104,NZD/USD,1.4619,6992.08
245,104,EUR/JPY,1.3407,3539.38
246,98,USD/EUR,0.5583,4071.67
247,886,EUR/GBP,0.5326,955.32
248,229,GBP/USD,0.5627,414.98
249,229,EUR/GBP,0.5098,8696.62
250,170,AUD/USD,1.4395,1142.56
251,170,USD/CAD,1.3173,6443.37
252,537,EUR/GBP,0.5435,3698.27
253,607,AUD/USD,1.3661,6562.82
254,607,EUR/GBP,0.6285,1146.6
255,987,USD/CNY,1.1885,8395.51
256,987,EUR/JPY,0.6374,3691.18
257,987,NZD/USD,1.4219,9585.5
258,539,USD/JPY,0.6587,7594.36
259,539,USD/EUR,0.8853,9082.84
260,690,USD/EUR,1.484,3318.9
261,908,USD/CNY,0.5736,895.1
262,908,USD/EUR,1.0006,5915.02
263,263,USD/CHF,0.9579,3168.54
264,877,GBP/USD,1.3412,3560.48
265,877,EUR/GBP,1.2762,3844.99
266,526,USD/CNY,0.7391,4395.55
267,526,USD/CAD,0.5876,7217.23
268,797,USD/CHF,1.1535,7074.2
269,897,USD/CHF,1.0184,1972.25
270,61,EUR/JPY,0.7215,2003.76
271,61,USD/CNY,1.0188,4425.58
272,449,AUD/USD,1.2817,1757.42
273,981,AUD/USD,0.6577,2846.74
274,981,USD/CAD,0.5753,1064.57
275,681,USD/CNY,1.2186,244.39
276,764,GBP/USD,1.3822,2155.86
277,617,USD/CNY,0.7109,6031.33
278,617,USD/CAD,1.1225,9952.28
279,559,USD/JPY,1.3739,7075.94
280,559,USD/CNY,0.87,9316.6
281,559,EUR/JPY,1.4546,8259.35
282,614,USD/CNY,1.4053,9643.57
283,614,EUR/JPY,1.2228,5514.15
284,878,AUD/USD,1.244,6956.68
285,878,EUR/JPY,1.1215,8724.69
286,878,GBP/USD,0.5707,5904.03
287,317,EUR/JPY,0.8271,5311.98
288,463,USD/CAD,1.4867,2213.79
289,737,GBP/USD,1.3832,3382.5
290,466,NZD/USD,0.8162,2741.57
291,466,EUR/GBP,1.3522,9570.45
292,625,USD/EUR,0.5771,8726.1
293,77,GBP/USD,0.684,2873.97
294,416,GBP/USD,0.5603,3448.69
295,416,NZD/USD,0.5775,1583.41
296,691,USD/CHF,1.3843,3396.73
297,691,USD/CHF,0.5429,6221.72
298,691,USD/CAD,1.1083,9269.36
299,594,USD/EUR,0.6153,9094.16
300,594,USD/CNY,1.3387,3515.61
301,555,NZD/USD,0.8307,4338.85
302,688,USD/CHF,1.0462,1729.41
303,688,USD/EUR,1.3455,6838.33
304,688,AUD/USD,0.9906,4774.04
305,644,NZD/USD,0.7707,7843.5
306,644,EUR/GBP,1.3408,793.17
307,644,AUD/USD,0.6064,9405.92
308,46,EUR/GBP,0.723,9530.16
309,46,EUR/JPY,1.3545,9481.99
310,46,EUR/GBP,0.8522,5039.61
311,151,NZD/USD,0.8284,5512.92
312,500,USD/EUR,0.7316,7125.88
313,337,USD/EUR,1.2277,1134.01
314,337,EUR/GBP,1.4981,8902.33
315,337,USD/CHF,0.6889,5817.73
316,810,USD/CAD,0.8152,131.1
317,810,EUR/JPY,0.6851,2933.19
318,810,AUD/USD,0.7679,7593.19
319,741,EUR/JPY,1.1459,7754.17
320,741,EUR/GBP,0.5186,5937.99
321,741,USD/CNY,1.377,6876.84
322,399,NZD/USD,1.0405,6341.03
323,427,USD/JPY,0.8412,8267.86
324,195,USD/CNY,1.1669,6227.86
325,195,USD/CNY,1.3225,1932.91
326,181,USD/EUR,1.307,6821.97
327,181,USD/JPY,1.0027,7398.09
328,518,AUD/USD,1.2423,5882.88
329,518,USD/CHF,1.2894,9775.78
330,111,EUR/JPY,1.498,5949.05
331,159,USD/CHF,0.6364,2471.98
332,159,AUD/USD,1.3138,2168.5
333,570,USD/CAD,1.4784,7407.06
334,920,USD/EUR,1.0386,5618.53
335,920,USD/JPY,0.7558,2897.85
336,920,USD/EUR,0.8521,6423.07
337,450,USD/CNY,1.3076,1075.55
338,450,NZD/USD,0.9938,9738.45
339,378,USD/CAD,0.8331,3541.15
340,935,USD/CNY,0.8687,5230.29
341,935,USD/CHF,0.9072,4106.49
342,548,NZD/USD,1.3344,7333.0
343,548,GBP/USD,1.2808,8171.78
344,548,USD/CNY,1.1218,1248.97
345,534,USD/CAD,1.2001,8337.86
346,534,USD/JPY,1.0836,4533.87
347,703,USD/JPY,0.8429,4783.41
348,703,AUD/USD,0.6517,4173.01
349,262,USD/JPY,1.2954,8242.61
350,262,EUR/GBP,0.506,3277.17
351,262,USD/CHF,0.8521,2382.95
352,560,NZD/USD,1.0326,6688.99
353,560,EUR/GBP,0.6529,4991.18
354,560,NZD/USD,1.2997,3246.04
355,2,EUR/GBP,0.8644,2034.36
356,2,EUR/GBP,1.2393,4727.83
357,2,USD/EUR,0.634,5011.68
358,494,USD/EUR,1.0944,7525.48
359,494,USD/JPY,0.5014,7339.54
360,494,NZD/USD,1.2981,3872.73
361,815,AUD/USD,1.1713,6006.02
362,815,AUD/USD,0.9551,9160.69
363,932,EUR/GBP,0.8904,6817.45
364,969,NZD/USD,1.046,4649.68
365,969,GBP/USD,0.848,215.93
366,969,AUD/USD,0.7521,4913.91
367,506,USD/JPY,0.5043,242.42
368,506,EUR/JPY,1.0102,8491.99
369,506,EUR/GBP,1.1905,1884.85
370,268,EUR/GBP,1.1613,3616.05
371,268,USD/CNY,1.4479,8310.42
372,268,AUD/USD,1.016,3008.32
373,666,AUD/USD,0.7769,8556.17
374,666,EUR/GBP,1.1391,9548.19
375,95,USD/CAD,0.8133,9517.69
376,95,AUD/USD,1.3873,5281.2
377,95,USD/JPY,0.6495,1324.45
378,874,AUD/USD,1.3232,5417.36
379,307,EUR/GBP,0.5002,5682.55
380,307,USD/CAD,1.175,6985.72
381,657,GBP/USD,0.5193,4472.01
382,637,AUD/USD,1.2289,7579.75
383,637,EUR/JPY,0.8386,5210.68
384,84,EUR/GBP,0.5391,2007.1
