ClaimID,PolicyID,ClaimAmount,Status,FiledDate
56,17,295.03,UnderReview,2024-05-17
57,156,3694.92,Approved,2024-07-01
58,61,2184.02,Approved,2025-02-27
59,61,4931.99,Filed,2024-08-13
60,62,2675.49,Approved,2025-02-18
61,62,879.69,Approved,2023-11-07
62,240,4315.72,Rejected,2025-03-12
63,7,4917.85,Settled,2025-05-10
64,7,4768.45,Settled,2023-11-11
65,179,659.66,UnderReview,2023-09-28
66,179,2842.28,Filed,2024-06-09
67,173,4508.23,Settled,2025-04-02
68,173,1477.94,Settled,2023-10-30
69,157,1398.14,Approved,2025-06-16
70,198,3902.92,Filed,2023-07-17
71,237,469.34,Filed,2025-02-13
72,131,629.95,UnderReview,2023-11-19
73,35,871.89,Settled,2024-09-02
74,27,3094.97,Rejected,2024-01-04
75,155,2808.51,Approved,2024-01-21
76,155,2022.24,Approved,2025-01-05
77,42,4040.39,Rejected,2025-01-26
78,82,4156.66,Approved,2024-12-26
79,82,2552.52,Settled,2023-09-24
80,141,2290.18,Approved,2024-11-19
81,64,2826.24,UnderReview,2025-06-10
82,64,1061.02,Filed,2023-12-11
83,225,2208.59,Filed,2023-10-24
84,225,3551.91,Rejected,2025-01-16
85,165,4947.15,Settled,2024-06-22
86,67,994.13,UnderReview,2024-09-10
87,67,3746.06,Settled,2024-09-17
88,186,2763.55,Rejected,2024-01-21
89,186,1379.13,Approved,2025-06-23
90,145,1179.12,UnderReview,2023-07-26
91,228,1615.74,Rejected,2024-01-19
92,228,4593.02,Settled,2024-03-21
93,170,896.66,Approved,2024-02-20
94,37,1681.05,Rejected,2024-11-11
95,37,4279.15,Rejected,2024-09-29
96,178,4081.43,Settled,2023-09-11
97,175,4486.55,Approved,2025-02-05
98,175,2221.82,UnderReview,2023-11-13
99,286,1904.09,Filed,2024-01-29
100,273,3311.4,Filed,2024-09-30
101,136,1174.62,Settled,2024-04-20
102,85,448.68,UnderReview,2025-06-05
103,127,4374.27,Approved,2023-08-22
104,127,4950.19,Approved,2025-06-10
105,182,4295.98,UnderReview,2025-02-10
106,104,3049.6,Rejected,2023-10-04
107,58,2650.85,UnderReview,2025-01-17
108,259,2251.33,UnderReview,2023-08-30
109,187,2833.31,UnderReview,2024-05-14
110,187,4624.83,Filed,2024-06-25
111,295,625.17,Filed,2024-11-05
112,295,1276.47,Settled,2024-01-06
113,101,2913.27,UnderReview,2024-09-10
114,101,1994.9,Rejected,2024-12-25
115,250,3543.77,Approved,2024-10-08
116,250,1244.12,Approved,2025-06-13
117,223,1101.12,UnderReview,2024-07-10
118,255,684.11,Filed,2023-07-10
119,255,671.87,Rejected,2023-11-08
120,28,932.4,UnderReview,2024-09-05
121,68,3242.84,Rejected,2024-05-04
122,276,3131.68,Settled,2024-11-16
123,276,2694.05,UnderReview,2024-02-26
124,294,3905.56,UnderReview,2023-09-04
125,294,600.01,UnderReview,2023-12-20
126,108,3548.41,Approved,2025-03-02
127,6,4137.39,Filed,2024-05-02
128,139,3749.22,Filed,2023-07-01
129,139,4818.66,Filed,2024-06-12
130,34,3540.55,Rejected,2024-03-07
131,115,1590.91,Approved,2025-05-31
132,97,4605.57,Rejected,2024-11-05
133,96,750.27,UnderReview,2024-07-02
134,96,4026.69,Filed,2023-10-25
135,46,1609.49,Filed,2024-12-21
136,13,3753.79,UnderReview,2024-12-18
137,13,2363.27,Settled,2023-12-13
138,65,1287.43,UnderReview,2023-12-28
139,65,1635.8,Approved,2024-05-17
140,152,2017.28,Rejected,2024-11-18
141,269,268.66,Approved,2024-01-14
142,269,2258.08,Approved,2024-09-13
143,176,4220.93,Filed,2024-10-05
144,176,2114.91,Filed,2025-06-03
145,107,2259.62,Settled,2024-06-09
146,260,3328.51,Filed,2023-10-17
147,260,953.23,Approved,2023-10-21
148,26,4976.62,Approved,2024-10-27
149,26,1711.57,Approved,2023-06-30
150,190,4747.96,Filed,2023-07-28
151,30,2082.28,UnderReview,2024-07-01
152,30,1784.53,Approved,2024-06-02
153,221,1354.42,Approved,2025-04-05
154,159,2594.81,Filed,2025-03-12
155,137,3131.59,Settled,2024-08-05
156,248,221.96,Filed,2024-06-18
157,38,835.71,Approved,2024-07-10
158,38,3535.1,Approved,2024-09-20
159,277,2793.01,Settled,2023-09-11
160,305,1100.65,Rejected,2024-03-28
161,305,4480.53,Approved,2024-07-23
162,142,1735.28,UnderReview,2025-05-17
163,142,4773.44,Rejected,2024-09-17
164,209,3184.35,Rejected,2024-10-04
165,158,1375.75,UnderReview,2023-12-27
166,158,3224.89,Filed,2025-02-04
167,191,2167.66,Approved,2024-03-15
168,191,2014.98,Filed,2023-10-05
169,9,914.9,Approved,2025-06-09
170,148,1248.32,UnderReview,2024-10-13
171,8,4773.19,Approved,2023-09-23
172,219,3395.45,Filed,2023-12-19
173,280,3837.67,UnderReview,2023-09-17
174,254,1440.22,UnderReview,2024-10-01
175,254,825.61,Rejected,2025-01-13
176,90,1459.29,Approved,2024-04-24
177,146,1985.79,Settled,2023-09-13
178,146,2925.55,Rejected,2024-07-11
179,5,4060.94,Rejected,2023-09-03
180,5,2378.28,Settled,2024-06-24
181,251,4475.45,Rejected,2024-05-22
182,251,1893.03,Settled,2024-08-10
183,298,2524.12,Filed,2023-11-13
184,298,3584.25,Approved,2023-11-06
185,296,2912.35,UnderReview,2023-11-25
186,245,755.95,Rejected,2025-03-26
187,56,239.23,Filed,2025-04-11
188,56,4395.83,Filed,2025-03-24
189,197,4877.09,Approved,2025-02-14
190,114,2895.54,Filed,2024-09-01
191,125,2133.27,Rejected,2024-09-10
192,226,3667.0,Approved,2024-08-18
193,230,2329.3,Settled,2023-07-20
194,128,3670.09,Filed,2024-01-08
195,299,1744.19,Filed,2023-11-23
196,299,3330.14,Approved,2023-10-12
197,238,3082.02,Settled,2024-02-11
198,238,813.24,Approved,2025-03-14
199,199,2374.77,Approved,2023-11-18
200,199,200.97,Settled,2023-10-29
201,111,2001.27,Settled,2025-02-07
202,166,4097.91,Filed,2024-03-03
203,166,1315.38,Rejected,2025-03-17
204,233,2670.45,Filed,2024-08-23
205,233,1517.93,Filed,2025-05-14
206,224,4595.6,Settled,2025-04-01
207,224,1111.15,Rejected,2025-01-25
208,288,2064.5,Settled,2025-04-24
209,24,3584.8,Filed,2023-10-06
210,283,822.65,Rejected,2023-07-17
211,283,2059.46,Rejected,2024-08-28
212,126,2087.06,Settled,2025-03-27
213,150,4844.01,UnderReview,2023-07-03
214,289,581.09,Filed,2024-01-30
215,55,3236.15,UnderReview,2024-09-10
216,55,4637.26,Filed,2024-04-01
217,53,1362.27,Rejected,2025-06-09
218,122,2327.81,Filed,2024-02-16
219,272,3854.15,UnderReview,2023-09-29
220,272,4033.2,Settled,2024-09-16
221,18,3699.69,Approved,2024-01-19
222,18,2442.04,UnderReview,2024-05-08
