SalaryID,EmployeeID,BaseSalary,Bonus,Deductions,PaymentDate
56,13,1252.13,214.48,51.85,2025-03-21
57,13,4499.79,529.11,56.58,2025-03-29
58,13,1038.5,43.36,29.13,2025-06-16
59,14,4130.21,765.12,92.04,2024-12-28
60,14,4373.72,73.87,369.22,2025-01-20
61,14,3682.27,252.73,36.82,2025-02-08
62,14,2402.97,327.24,227.33,2025-04-26
63,15,2269.48,387.68,158.93,2025-01-12
64,15,853.78,50.24,41.53,2025-04-13
65,15,2040.9,403.35,73.56,2025-06-15
66,16,1592.28,36.8,65.53,2024-12-24
67,16,2310.12,91.86,98.25,2024-12-25
68,16,1509.16,67.03,108.46,2025-01-09
69,16,4941.74,91.95,122.83,2025-03-18
70,16,4135.41,704.97,360.35,2025-03-22
71,16,1338.95,241.1,28.85,2025-05-22
72,17,2338.55,316.22,201.36,2025-01-24
73,17,4532.14,1.93,243.73,2025-04-11
74,17,1956.52,267.83,69.74,2025-04-24
75,17,3287.05,61.07,27.07,2025-06-23
76,18,955.04,175.8,94.78,2025-01-01
77,18,4635.4,155.94,137.63,2025-03-02
78,18,3810.74,109.36,166.09,2025-04-13
79,18,2942.34,166.64,208.66,2025-05-22
80,19,2199.12,348.74,120.18,2025-02-15
81,19,2529.52,478.35,62.45,2025-02-17
82,19,4744.68,440.95,345.7,2025-02-20
83,19,3795.75,176.17,222.84,2025-06-08
84,20,4208.39,324.01,68.59,2025-01-07
85,20,2613.42,485.06,111.43,2025-01-22
86,20,4488.56,366.7,222.1,2025-01-27
87,20,2845.88,337.43,81.46,2025-02-19
88,20,1954.43,361.51,115.89,2025-04-01
89,21,2605.67,462.67,37.37,2025-02-23
90,21,3964.89,714.18,335.74,2025-03-21
91,21,2903.13,445.77,253.12,2025-03-22
92,21,3593.79,469.68,127.89,2025-04-11
93,22,4549.66,762.83,251.76,2025-01-09
94,22,3143.44,454.3,247.3,2025-02-14
95,22,3652.16,718.3,73.93,2025-03-19
96,22,4895.42,301.1,416.57,2025-03-26
97,22,2334.67,204.89,192.5,2025-04-06
98,22,3642.31,461.1,339.14,2025-06-18
99,23,2037.82,27.92,89.42,2025-01-21
100,23,1071.95,131.43,47.27,2025-02-05
101,23,3342.58,47.43,265.85,2025-04-19
102,23,3977.79,240.96,241.74,2025-05-03
103,24,3278.4,589.22,180.6,2025-01-15
104,24,1945.82,208.44,164.27,2025-05-13
105,24,2069.39,179.74,1.64,2025-05-14
106,24,3119.62,344.21,58.48,2025-06-09
107,25,1352.04,162.49,25.9,2025-01-15
108,25,4175.65,656.36,155.6,2025-02-13
109,25,2917.08,403.1,259.71,2025-04-30
110,25,2473.07,268.93,83.39,2025-05-12
111,26,2380.72,367.62,130.07,2025-02-20
112,26,2580.82,75.1,154.27,2025-03-19
113,26,3017.22,112.6,129.86,2025-05-14
114,26,3978.4,299.83,50.51,2025-06-13
115,27,1477.64,193.68,144.77,2024-12-26
116,27,1134.07,100.58,54.5,2025-01-27
117,27,1914.56,298.36,72.33,2025-02-10
118,27,3506.28,559.29,106.95,2025-02-21
119,27,1335.5,109.69,125.44,2025-04-10
120,27,3523.83,347.04,313.89,2025-05-14
121,28,2493.26,192.92,111.55,2025-02-24
122,28,1694.83,121.83,45.18,2025-03-14
123,28,4494.15,897.11,378.89,2025-04-15
124,28,4706.53,161.76,211.06,2025-06-21
125,29,1258.35,181.03,65.28,2024-12-25
126,29,4488.2,728.0,95.16,2025-02-07
127,29,1380.72,92.17,68.49,2025-03-07
128,29,2417.76,288.23,103.76,2025-04-06
129,29,2789.9,129.46,218.85,2025-05-10
130,30,4289.77,390.21,321.14,2025-01-19
131,30,1523.5,132.5,5.16,2025-02-15
132,30,4691.03,1.25,43.26,2025-05-28
133,31,1223.79,229.48,38.76,2025-01-11
134,31,3129.22,303.65,137.76,2025-03-24
135,31,1594.55,34.62,128.31,2025-05-19
136,31,4158.52,391.98,343.74,2025-05-24
137,31,4117.3,333.38,32.99,2025-05-31
138,32,895.24,126.75,79.21,2025-01-13
139,32,2500.65,227.81,243.22,2025-02-18
140,32,2303.36,86.43,226.23,2025-03-16
141,32,1016.66,197.68,62.21,2025-04-13
142,32,3655.58,458.98,296.45,2025-04-28
143,32,4169.15,235.0,47.32,2025-05-09
144,33,4852.47,542.24,359.37,2025-03-22
145,33,4079.58,390.49,112.55,2025-04-13
146,33,2431.36,232.45,95.46,2025-04-21
147,33,1616.0,306.5,32.91,2025-06-07
148,34,2882.45,452.19,187.27,2025-01-22
149,34,4945.29,458.5,354.4,2025-01-28
150,34,4699.36,389.48,324.37,2025-03-05
151,34,3915.34,519.91,188.79,2025-04-05
152,34,4153.2,663.38,17.59,2025-04-08
153,34,819.9,11.33,26.06,2025-05-03
154,35,1221.26,4.57,27.03,2025-03-09
155,35,1992.22,71.31,107.78,2025-03-14
156,35,968.57,109.15,36.73,2025-03-24
157,35,1564.54,156.56,32.46,2025-04-14
158,35,2133.71,74.2,147.08,2025-04-21
159,36,1898.48,81.13,138.56,2025-06-03
160,36,4044.62,36.68,103.3,2025-06-05
161,36,3031.82,287.61,44.56,2025-06-19
162,37,990.34,197.07,33.37,2025-01-14
163,37,2195.22,144.6,42.25,2025-03-02
164,37,1086.55,45.05,57.66,2025-03-19
165,37,1200.53,55.33,41.68,2025-04-06
166,37,1989.78,102.52,32.43,2025-05-21
167,37,2688.72,469.86,197.83,2025-06-08
168,38,2197.57,3.98,145.28,2025-03-15
169,38,1360.09,67.16,129.84,2025-05-17
170,38,4148.64,596.84,231.71,2025-05-28
171,38,2264.99,95.73,200.16,2025-06-01
172,39,1424.69,113.32,28.04,2025-06-07
173,39,3132.5,13.15,103.7,2025-06-16
174,39,3850.97,330.75,305.13,2025-06-23
175,40,3801.9,240.85,154.61,2025-02-04
176,40,2508.88,264.97,198.79,2025-05-22
177,40,4264.93,759.21,23.34,2025-06-11
178,41,3662.6,490.14,127.74,2025-01-04
179,41,4390.33,60.46,155.99,2025-03-22
180,41,1382.81,122.16,67.54,2025-03-22
181,42,3184.11,146.93,247.73,2025-01-05
182,42,3262.79,538.87,120.42,2025-04-04
183,42,943.76,136.17,84.87,2025-04-06
184,42,2045.0,141.96,172.32,2025-05-03
185,42,3168.47,75.7,43.57,2025-06-10
186,43,3919.98,640.76,219.8,2025-01-23
187,43,2441.37,41.9,215.79,2025-02-03
188,43,4868.01,286.81,236.44,2025-03-12
189,44,4747.59,742.06,382.19,2025-01-07
190,44,3671.28,427.84,305.61,2025-01-14
191,44,4120.69,3.98,367.76,2025-02-24
192,44,4288.93,86.48,376.18,2025-03-26
193,45,1266.04,13.06,47.36,2025-01-15
194,45,4016.15,672.01,62.81,2025-01-23
195,45,3817.49,368.87,94.05,2025-03-06
196,45,4784.63,72.34,28.38,2025-03-29
197,45,1448.85,212.1,35.28,2025-05-16
198,45,3213.99,173.42,187.19,2025-05-25
199,46,4301.8,170.46,213.97,2024-12-24
200,46,1842.08,247.91,2.17,2025-03-04
201,46,2495.86,451.3,88.79,2025-04-02
202,46,831.08,46.32,16.07,2025-04-24
203,47,4601.31,159.72,330.94,2025-03-27
204,47,4553.37,694.2,122.07,2025-04-26
205,47,1601.28,115.33,31.44,2025-05-26
206,48,4644.55,816.7,256.41,2025-02-16
207,48,3517.13,542.4,238.07,2025-04-21
208,48,4757.13,633.13,105.95,2025-05-07
209,49,2457.61,395.11,140.27,2025-02-13
210,49,3125.65,160.54,161.64,2025-03-11
211,49,2078.89,403.88,65.47,2025-04-01
212,49,4715.82,439.6,20.57,2025-04-25
213,49,1752.74,314.76,8.3,2025-06-09
214,50,1361.48,206.17,92.41,2025-03-08
215,50,1754.11,336.52,173.4,2025-03-27
216,50,4616.74,887.25,153.71,2025-06-04
217,51,2538.16,188.61,226.83,2025-01-06
218,51,4263.34,161.06,205.68,2025-01-14
219,51,4860.57,161.67,40.54,2025-03-01
220,51,1282.18,208.72,71.27,2025-06-20
221,52,3369.56,504.1,160.8,2025-01-19
222,52,2327.42,249.98,90.44,2025-02-07
223,52,812.34,90.72,45.49,2025-03-24
224,52,4123.87,375.24,383.46,2025-04-13
225,52,823.68,88.54,21.12,2025-05-16
226,53,4745.48,737.46,111.75,2025-01-21
227,53,1740.84,36.48,59.12,2025-03-06
228,53,2764.47,0.05,141.98,2025-04-12
229,53,2139.85,150.22,15.75,2025-06-10
230,54,4301.33,227.54,122.88,2025-01-16
231,54,1278.59,214.1,13.66,2025-02-01
232,54,2576.11,16.82,96.56,2025-02-01
233,54,3165.81,213.76,280.98,2025-03-12
234,54,3009.16,528.29,63.61,2025-06-03
235,54,851.34,154.88,25.55,2025-06-23
236,55,845.45,166.22,51.54,2025-02-02
237,55,3243.03,316.41,109.25,2025-02-27
238,55,2477.55,201.01,61.13,2025-04-14
239,55,818.45,21.19,22.06,2025-05-19
240,55,3584.21,329.11,345.4,2025-05-26
241,55,3987.4,714.21,94.14,2025-06-05
242,56,4263.15,685.02,376.17,2025-01-22
243,56,4911.5,552.47,282.6,2025-02-18
244,56,3751.52,653.16,228.56,2025-02-23
245,56,2932.52,405.64,81.44,2025-03-24
246,57,2262.06,147.29,118.47,2024-12-23
247,57,923.74,77.47,38.45,2025-02-03
248,57,3220.24,362.56,294.99,2025-02-23
249,57,4088.4,298.76,197.62,2025-04-10
250,57,2705.51,7.77,33.85,2025-05-06
251,58,1222.95,98.15,114.9,2025-05-29
252,58,846.71,123.03,67.68,2025-05-30
253,58,2771.22,347.57,79.96,2025-06-08
254,59,4159.79,672.77,18.33,2024-12-26
255,59,4196.96,217.06,248.45,2025-01-05
256,59,2029.1,179.72,74.19,2025-04-18
257,60,3016.02,265.27,218.68,2025-01-14
258,60,1425.66,77.61,124.93,2025-01-23
259,60,2041.96,304.98,118.77,2025-02-24
260,60,1394.91,92.85,97.93,2025-04-24
261,61,2078.41,388.04,147.77,2025-02-26
262,61,4178.95,746.61,136.18,2025-03-02
263,61,1474.3,108.5,46.34,2025-04-06
264,62,4955.46,985.7,462.47,2024-12-30
265,62,1578.77,222.33,66.71,2025-01-23
266,62,4532.17,485.39,204.01,2025-02-17
267,62,4241.22,85.06,405.98,2025-05-16
268,62,3594.64,337.86,124.03,2025-06-16
269,63,4850.04,715.4,25.79,2024-12-31
270,63,2657.62,348.09,244.31,2025-03-04
271,63,2361.94,139.52,204.69,2025-04-21
272,63,3522.66,223.05,346.79,2025-05-30
273,63,4132.01,307.2,137.48,2025-06-16
274,64,3177.48,376.23,302.17,2024-12-26
275,64,3676.55,257.83,8.35,2025-02-27
276,64,4516.66,733.74,313.04,2025-03-09
277,64,2131.24,245.53,160.24,2025-03-09
278,64,1206.38,159.7,32.1,2025-03-10
279,64,3329.39,438.43,328.46,2025-05-18
280,65,4979.67,514.14,276.96,2025-04-05
281,65,4260.81,507.99,11.7,2025-04-12
282,65,4253.43,669.28,96.72,2025-04-13
283,65,4310.7,561.47,228.83,2025-04-21
284,65,4360.13,322.95,79.3,2025-04-30
285,65,4410.01,96.06,166.55,2025-05-24
286,66,2863.16,113.08,17.19,2025-03-13
287,66,1306.92,68.66,16.86,2025-05-20
288,66,3440.61,308.89,8.37,2025-05-30
289,67,2898.16,533.87,87.26,2025-03-10
290,67,1612.45,234.11,12.83,2025-03-11
291,67,4874.52,963.42,355.93,2025-05-11
292,68,2362.09,371.92,169.64,2024-12-28
293,68,1555.41,172.39,102.97,2025-01-19
294,68,1348.7,2.22,29.89,2025-02-23
295,68,3163.89,621.88,290.97,2025-04-02
296,68,1401.18,151.33,56.18,2025-06-04
297,69,3234.12,111.34,254.0,2025-03-27
298,69,4393.34,455.75,57.96,2025-04-21
299,69,4738.49,354.87,170.61,2025-05-09
300,70,1913.62,244.85,159.44,2024-12-28
301,70,2293.26,74.61,4.18,2025-01-13
302,70,4300.22,338.7,262.85,2025-01-28
303,70,2108.51,183.75,60.14,2025-02-05
304,70,2587.76,249.54,81.5,2025-06-03
305,71,4734.72,126.88,452.51,2025-01-01
306,71,2532.22,165.84,68.06,2025-03-10
307,71,3270.08,613.16,106.57,2025-04-16
308,71,4909.5,772.71,284.97,2025-06-09
309,71,3716.2,171.19,260.74,2025-06-09
310,72,1712.56,104.86,69.54,2025-01-18
311,72,2239.17,15.74,95.58,2025-01-19
312,72,2914.0,269.15,87.76,2025-02-19
313,72,3450.69,470.03,340.09,2025-03-01
314,72,1494.89,121.84,137.08,2025-03-27
315,73,2083.98,149.56,110.02,2024-12-31
316,73,2124.51,382.73,168.77,2025-01-19
317,73,3211.82,592.07,63.06,2025-02-21
318,73,1526.59,108.06,80.63,2025-03-30
319,73,3998.86,387.87,171.27,2025-03-30
320,73,4886.32,884.72,37.34,2025-05-28
321,74,2982.35,416.26,126.2,2025-05-01
322,74,2554.34,310.17,236.13,2025-06-02
323,74,1771.42,205.32,44.51,2025-06-09
324,75,2001.76,342.17,137.53,2024-12-28
325,75,3562.69,261.97,102.58,2025-01-24
326,75,3086.73,296.14,69.95,2025-02-27
327,75,4286.33,325.66,184.26,2025-03-31
328,75,1720.6,341.75,135.79,2025-04-20
329,76,3033.33,300.58,162.78,2025-02-14
330,76,4428.35,267.22,293.87,2025-02-15
331,76,4845.93,382.15,382.24,2025-03-08
332,76,3746.33,742.49,59.33,2025-03-11
333,76,1302.59,6.9,125.42,2025-03-25
334,76,4577.86,763.16,448.81,2025-05-05
335,77,2862.31,433.89,137.4,2025-01-25
336,77,1607.84,171.22,75.6,2025-03-19
337,77,3612.24,110.94,162.06,2025-03-29
338,77,2968.27,318.7,139.09,2025-04-10
339,77,4164.32,73.3,365.12,2025-04-22
340,77,3373.64,236.39,67.85,2025-05-22
341,78,2913.29,285.5,59.21,2025-01-21
342,78,2344.92,307.59,118.02,2025-01-23
343,78,4296.28,642.78,69.66,2025-02-28
344,78,3049.86,128.29,169.11,2025-06-03
345,79,2473.8,471.92,150.11,2025-01-07
346,79,3341.61,1.78,80.28,2025-01-29
347,79,1720.9,326.86,25.75,2025-03-03
348,79,2553.32,159.47,28.97,2025-04-17
349,79,1141.45,203.7,39.81,2025-04-18
350,79,4575.26,503.46,148.82,2025-05-12
351,80,1439.3,130.5,47.6,2025-02-25
352,80,3606.87,247.41,130.45,2025-03-04
353,80,4491.37,409.34,68.85,2025-04-30
354,81,4591.22,829.78,147.26,2025-01-25
355,81,856.37,9.08,73.85,2025-02-13
356,81,1291.49,141.18,23.73,2025-03-18
357,81,2296.96,9.8,16.69,2025-04-28
358,81,854.65,83.97,58.44,2025-05-01
359,82,2656.24,14.91,244.98,2025-01-25
360,82,3532.52,424.29,122.0,2025-03-10
361,82,4093.24,78.74,183.87,2025-03-14
362,82,1046.62,51.35,83.45,2025-04-09
363,82,2700.96,25.94,200.27,2025-04-29
364,82,3063.3,512.97,224.89,2025-05-27
365,83,3879.9,543.58,292.11,2024-12-27
366,83,3861.07,612.38,10.47,2025-03-31
367,83,1915.36,168.39,185.07,2025-06-16
368,84,3870.72,579.31,57.82,2024-12-26
369,84,4254.91,161.29,384.26,2024-12-28
370,84,4781.32,577.51,304.07,2025-01-23
371,84,2965.78,207.04,70.42,2025-03-21
372,84,2573.37,293.35,154.83,2025-06-01
373,85,4630.75,245.5,125.09,2025-01-23
374,85,3120.27,252.5,47.74,2025-02-21
375,85,4089.31,345.36,127.19,2025-04-29
376,86,4170.27,771.83,75.15,2025-02-17
377,86,1467.4,115.23,6.49,2025-05-28
378,86,4468.23,174.86,270.41,2025-06-21
379,86,1034.31,180.35,94.77,2025-06-22
380,87,1836.51,90.58,19.7,2025-01-18
381,87,1077.02,187.87,95.71,2025-01-28
382,87,2912.86,331.64,132.86,2025-03-13
383,87,3915.28,771.11,348.94,2025-03-25
384,87,4706.64,191.44,14.1,2025-05-26
385,87,1831.41,365.03,106.56,2025-05-28
386,88,1873.16,170.51,70.27,2025-01-27
387,88,994.35,73.9,5.03,2025-02-02
388,88,4522.05,572.42,35.11,2025-03-02
389,88,4822.24,581.45,102.54,2025-04-07
390,88,2611.51,215.4,236.43,2025-05-03
391,88,3092.16,136.85,201.78,2025-06-09
392,89,3094.99,556.88,30.08,2025-01-25
393,89,4026.37,591.82,90.45,2025-02-07
394,89,1342.05,137.56,109.44,2025-02-27
395,89,2787.32,203.24,68.92,2025-03-11
396,89,2137.06,241.39,207.6,2025-06-07
397,90,4896.89,653.38,328.6,2025-01-12
398,90,3484.12,694.37,271.25,2025-01-27
399,90,4988.69,652.7,363.01,2025-03-13
400,90,3915.18,2.85,122.55,2025-06-10
401,91,2077.59,333.78,126.35,2024-12-27
402,91,1586.23,155.61,79.73,2025-01-08
403,91,1865.03,90.08,140.75,2025-03-09
404,91,4186.72,495.02,271.67,2025-04-04
405,91,4852.92,912.64,419.68,2025-06-15
406,91,4191.84,73.11,22.88,2025-06-17
407,92,1763.09,294.54,42.59,2025-02-12
408,92,2720.7,253.14,38.29,2025-05-17
409,92,1817.13,230.65,51.85,2025-06-02
410,93,4775.16,519.26,169.88,2025-01-13
411,93,1820.02,148.74,82.6,2025-01-19
412,93,4828.54,411.13,204.23,2025-03-18
413,93,4766.21,325.88,363.18,2025-04-25
414,94,1704.38,69.14,41.98,2025-01-12
415,94,2189.37,223.15,77.76,2025-03-03
416,94,4015.59,439.21,265.76,2025-04-24
417,94,1521.51,302.14,110.26,2025-05-06
418,95,2649.1,265.68,174.7,2025-04-01
419,95,966.79,63.8,71.53,2025-05-04
420,95,4475.25,60.37,74.95,2025-05-29
421,95,4247.79,325.02,250.8,2025-06-09
422,96,2363.63,426.52,70.14,2024-12-30
423,96,2409.4,318.24,131.27,2025-01-07
424,96,2615.5,404.0,253.93,2025-03-28
425,96,3296.23,448.08,302.71,2025-04-05
426,96,2066.38,42.09,170.57,2025-05-23
427,97,3891.49,725.88,43.89,2025-01-09
428,97,2589.94,267.11,93.34,2025-05-15
429,97,2335.21,337.74,213.96,2025-06-07
430,98,2132.81,131.34,58.04,2025-03-08
431,98,3795.74,150.64,140.98,2025-03-17
432,98,4866.69,154.13,190.08,2025-04-23
433,99,1810.09,199.89,165.83,2024-12-30
434,99,4280.05,418.82,267.66,2025-01-11
435,99,2692.11,93.72,118.55,2025-03-11
436,99,1846.75,127.84,139.94,2025-05-05
437,99,2657.08,354.9,150.69,2025-05-12
438,99,2195.04,281.29,113.91,2025-05-27
439,100,1420.41,194.99,85.88,2025-04-06
440,100,3254.94,217.91,109.2,2025-04-08
441,100,3933.58,716.39,337.27,2025-05-11
442,101,2633.6,351.0,225.54,2025-01-03
443,101,3606.33,144.05,279.01,2025-02-25
444,101,2839.87,359.89,91.15,2025-03-01
445,101,1779.13,171.14,106.85,2025-03-12
446,101,3186.77,44.09,156.56,2025-05-24
447,102,2313.54,444.71,221.93,2025-01-28
448,102,2078.68,264.24,68.06,2025-03-15
449,102,4430.16,120.68,54.76,2025-03-26
450,102,4818.29,364.46,464.52,2025-05-20
451,102,2226.78,308.05,115.98,2025-05-23
452,102,2293.49,413.23,117.41,2025-05-24
453,103,1232.86,242.48,29.24,2025-01-25
454,103,4813.77,418.94,374.26,2025-02-19
455,103,4579.11,55.59,162.48,2025-03-05
456,103,3450.01,374.27,33.38,2025-03-26
457,103,3234.9,320.46,11.04,2025-05-19
458,104,2634.18,301.2,70.53,2025-02-14
459,104,1539.03,203.11,26.63,2025-04-01
460,104,3053.17,316.14,117.98,2025-05-18
461,104,1377.51,269.63,76.13,2025-05-29
462,105,4440.11,411.71,239.07,2025-02-15
463,105,2792.15,515.09,47.42,2025-03-14
464,105,3717.37,504.23,118.13,2025-03-15
465,105,2110.02,353.96,45.59,2025-03-27
466,105,1169.21,141.02,3.74,2025-05-25
467,105,4481.06,239.29,163.97,2025-05-27
468,106,4505.63,271.62,410.16,2025-01-07
469,106,1987.69,321.89,167.16,2025-01-19
470,106,2566.83,499.86,213.88,2025-05-30
471,106,3950.03,16.53,302.54,2025-06-10
472,107,2890.61,76.46,109.14,2025-03-01
473,107,2249.42,389.13,158.23,2025-04-01
474,107,1879.64,91.47,65.35,2025-04-02
475,108,1656.57,235.32,11.82,2024-12-24
476,108,2662.13,450.93,81.57,2025-02-17
477,108,3781.66,279.65,158.46,2025-05-31
478,109,1661.55,91.65,39.08,2025-01-26
479,109,1317.51,35.48,52.51,2025-02-16
480,109,3152.66,88.48,209.32,2025-02-28
481,109,2592.56,11.11,86.84,2025-03-21
482,110,3127.81,608.97,115.2,2024-12-26
483,110,1756.36,47.27,27.75,2025-03-01
484,110,1785.67,29.58,153.82,2025-03-22
485,110,3562.23,489.28,179.98,2025-04-21
486,110,4496.42,701.85,0.33,2025-05-09
487,110,1896.9,58.43,142.41,2025-05-21
488,111,3048.33,375.5,108.18,2025-03-10
489,111,4947.4,207.21,61.05,2025-03-15
490,111,963.83,57.39,43.42,2025-03-31
491,112,2800.56,387.98,108.72,2025-03-05
492,112,1353.09,265.47,130.47,2025-05-28
493,112,881.17,78.27,30.85,2025-06-13
494,113,3130.97,459.39,233.91,2025-01-06
495,113,1856.28,47.61,128.87,2025-02-10
496,113,3746.4,119.51,28.46,2025-04-15
497,113,2790.5,435.45,100.59,2025-04-26
498,114,3609.32,618.74,340.57,2025-01-27
499,114,4112.9,404.51,51.72,2025-02-16
500,114,4070.7,303.44,149.06,2025-03-31
501,114,4282.56,484.51,178.96,2025-06-19
502,115,3800.54,715.33,343.09,2024-12-27
503,115,2126.08,312.02,129.42,2025-01-30
504,115,3573.99,675.76,139.46,2025-03-11
505,115,3735.71,125.53,33.19,2025-05-06
506,116,3040.96,565.02,177.32,2025-02-12
507,116,1682.59,232.26,87.62,2025-04-05
508,116,1389.81,47.9,23.33,2025-06-03
509,117,1458.05,213.52,61.03,2024-12-24
510,117,2995.62,441.32,184.66,2025-01-20
511,117,4672.17,225.67,4.6,2025-03-19
512,117,1826.39,104.99,17.16,2025-04-24
513,117,2560.52,348.43,128.45,2025-05-29
514,118,3448.79,606.61,188.8,2025-01-22
515,118,1937.67,131.59,176.23,2025-02-13
516,118,3416.68,479.61,314.66,2025-03-08
517,118,3440.31,236.59,122.8,2025-04-01
518,118,3174.38,385.76,102.82,2025-05-08
519,119,3115.0,167.77,131.3,2025-01-06
520,119,1014.8,0.5,43.68,2025-02-21
521,119,2999.82,213.25,27.14,2025-05-25
522,120,1006.94,77.78,86.9,2025-03-26
523,120,4073.24,265.73,104.87,2025-05-11
524,120,4770.58,522.66,258.06,2025-06-03
525,121,1476.22,70.7,80.04,2025-03-07
526,121,1526.27,89.89,101.46,2025-03-08
527,121,4536.83,204.78,281.0,2025-05-15
528,121,1882.81,327.96,117.94,2025-06-15
529,122,888.22,166.96,1.66,2025-01-16
530,122,1908.3,169.6,121.05,2025-01-22
531,122,4331.54,579.61,328.15,2025-03-12
532,122,4024.0,624.31,277.42,2025-05-07
533,122,2389.89,89.41,5.62,2025-06-10
534,122,3782.93,593.86,131.98,2025-06-19
535,123,2425.44,351.46,219.99,2025-01-10
536,123,1067.88,193.56,17.94,2025-01-26
537,123,3874.2,636.28,215.48,2025-02-25
538,123,3260.36,588.71,113.93,2025-03-31
539,123,1173.8,223.59,18.48,2025-06-14
540,124,1179.6,31.98,18.73,2024-12-28
541,124,1178.16,101.93,83.34,2025-01-24
542,124,2865.01,138.93,138.56,2025-04-16
543,124,3031.11,144.71,96.26,2025-05-26
544,124,2868.27,277.15,108.56,2025-05-30
545,125,2656.25,306.5,120.69,2025-04-07
546,125,3118.73,406.79,115.53,2025-06-08
547,125,894.67,71.7,0.57,2025-06-15
548,126,4972.57,685.86,244.61,2024-12-27
549,126,4848.48,938.28,369.48,2025-01-17
550,126,3933.02,450.69,153.84,2025-03-31
551,126,1135.15,198.09,67.2,2025-05-14
552,126,2712.27,169.68,164.71,2025-05-20
553,126,2787.8,513.9,104.65,2025-06-04
554,127,1839.46,170.02,81.39,2025-05-12
555,127,3883.0,623.81,13.36,2025-05-19
556,127,969.77,4.27,77.03,2025-06-07
557,128,3493.03,658.99,138.38,2025-02-17
558,128,1328.61,189.67,24.4,2025-04-17
559,128,2129.05,203.24,79.39,2025-05-11
560,128,1064.66,66.16,61.52,2025-05-12
561,128,4840.76,774.61,5.1,2025-06-19
562,129,3307.39,411.08,229.11,2025-01-11
563,129,3144.23,144.52,115.51,2025-01-15
564,129,2633.41,362.72,87.7,2025-02-05
565,129,3713.67,695.59,360.16,2025-05-02
566,130,2313.08,142.2,151.03,2025-01-13
567,130,4153.02,288.91,263.8,2025-01-29
568,130,3865.02,145.93,263.43,2025-04-16
569,131,4525.74,242.03,162.82,2025-01-05
570,131,4502.72,431.5,16.36,2025-03-25
571,131,3796.25,734.78,235.67,2025-04-05
572,131,3572.15,382.3,16.05,2025-06-20
573,131,1274.86,197.48,85.21,2025-06-21
574,132,4409.27,625.65,348.23,2025-01-17
575,132,3432.25,343.73,142.07,2025-01-31
576,132,4263.47,251.79,216.26,2025-02-10
577,132,2794.52,226.25,228.99,2025-03-10
578,132,4167.53,776.83,134.01,2025-05-14
579,133,1087.51,186.16,32.92,2025-01-17
580,133,1912.41,371.9,80.12,2025-01-23
581,133,1884.05,49.91,118.49,2025-05-23
