AccountID,CustomerID,AccountType,Balance,Currency,Status,BranchID,CreatedDate
96,50,Savings,49777.26,UZS,Active,1,2025-05-02
97,50,Business,9742.26,UZS,Closed,7,2025-06-08
98,51,Joint,84243.43,UZS,Active,1,2023-09-14
99,51,Savings,62295.93,GBP,Active,7,2021-06-25
100,52,Checking,34016.72,UZS,Inactive,3,2021-07-05
101,52,Business,33950.32,UZS,Inactive,5,2023-11-22
102,53,Business,88229.74,GBP,Closed,7,2020-11-22
103,53,Checking,60898.79,EUR,Inactive,8,2021-06-16
104,53,Checking,79740.6,EUR,Inactive,1,2022-04-03
105,54,Checking,36178.62,USD,Closed,8,2022-10-09
106,55,Savings,27349.17,GBP,Active,4,2020-12-26
107,55,Business,9165.14,UZS,Inactive,8,2023-05-30
108,55,Business,42063.01,UZS,Closed,9,2021-12-10
109,56,Savings,77451.61,EUR,Inactive,5,2021-07-07
110,57,Business,85736.32,EUR,Closed,8,2024-10-05
111,58,Checking,37389.9,UZS,Inactive,3,2023-04-16
112,58,Business,21722.45,UZS,Inactive,7,2024-02-13
113,59,Joint,73050.41,USD,Closed,4,2023-06-15
114,59,Checking,45758.04,UZS,Inactive,1,2025-02-13
115,60,Savings,69534.01,UZS,Inactive,5,2020-10-08
116,61,Business,70169.94,UZS,Active,1,2021-11-16
117,61,Business,16350.04,GBP,Inactive,2,2022-01-18
118,61,Joint,67089.42,GBP,Active,1,2020-07-11
119,62,Joint,22520.58,EUR,Closed,8,2022-10-31
120,62,Joint,8611.81,UZS,Closed,7,2024-08-25
121,63,Business,49638.96,GBP,Inactive,10,2024-06-28
122,63,Business,8302.13,USD,Active,4,2024-11-17
123,63,Joint,44123.22,GBP,Closed,1,2022-10-11
124,64,Checking,14172.18,GBP,Closed,6,2024-08-29
125,64,Checking,93109.0,UZS,Active,4,2020-10-24
126,64,Joint,39204.71,USD,Inactive,3,2021-06-10
127,65,Savings,95136.67,EUR,Inactive,1,2021-01-26
128,65,Savings,29896.6,UZS,Active,10,2022-12-16
129,66,Checking,39274.75,USD,Inactive,7,2021-05-19
130,66,Savings,29700.89,GBP,Inactive,5,2021-08-30
131,66,Savings,44901.35,EUR,Inactive,8,2024-11-26
132,67,Checking,80744.66,USD,Active,6,2021-02-04
133,68,Checking,29850.66,USD,Active,2,2022-05-16
134,68,Business,46862.3,UZS,Closed,3,2023-04-03
135,69,Business,76686.87,UZS,Inactive,7,2023-08-08
136,69,Business,57738.16,GBP,Inactive,4,2024-05-13
137,70,Checking,66693.3,UZS,Active,2,2022-06-03
138,70,Checking,12919.73,UZS,Inactive,2,2024-08-03
139,70,Business,11150.47,EUR,Active,10,2021-04-17
140,71,Business,52992.74,USD,Inactive,10,2023-06-22
141,71,Joint,42744.57,USD,Active,5,2024-09-20
142,71,Checking,23171.48,UZS,Active,1,2024-12-23
143,72,Savings,19544.14,USD,Closed,1,2021-02-20
144,73,Savings,30656.33,UZS,Closed,7,2024-09-29
145,73,Checking,86526.62,EUR,Closed,9,2023-04-09
146,74,Checking,45398.87,EUR,Active,9,2020-11-20
147,74,Joint,56876.46,GBP,Active,7,2025-02-15
148,74,Savings,17234.82,EUR,Inactive,10,2024-01-18
149,75,Joint,89559.02,UZS,Closed,10,2022-01-01
150,76,Joint,29031.17,GBP,Inactive,10,2020-07-14
151,76,Joint,50066.36,EUR,Closed,8,2022-06-12
152,77,Savings,68499.2,GBP,Closed,1,2021-09-13
153,78,Business,77728.47,UZS,Inactive,10,2024-02-22
154,78,Business,76215.25,USD,Active,2,2020-12-31
155,79,Business,82720.96,UZS,Closed,4,2022-05-07
156,79,Savings,9473.8,EUR,Active,5,2021-05-13
157,79,Joint,25613.3,USD,Active,3,2021-12-03
158,80,Checking,8420.87,EUR,Closed,10,2021-01-27
159,80,Business,7653.72,EUR,Inactive,10,2024-12-21
160,80,Savings,87144.61,EUR,Closed,8,2023-06-11
161,81,Joint,60330.86,EUR,Active,2,2022-01-31
162,82,Joint,88596.3,USD,Inactive,4,2024-04-21
163,82,Joint,82518.81,GBP,Closed,3,2025-05-22
164,83,Savings,56017.07,USD,Closed,4,2020-07-16
165,83,Business,3095.53,EUR,Active,9,2025-04-30
166,84,Checking,70309.67,EUR,Inactive,6,2023-11-15
167,85,Savings,40912.41,EUR,Closed,3,2023-02-27
168,86,Checking,47068.59,GBP,Inactive,6,2022-12-08
169,86,Checking,73575.73,UZS,Inactive,7,2020-07-02
170,86,Business,23856.46,EUR,Closed,4,2025-04-20
171,87,Checking,40491.19,UZS,Active,3,2024-04-15
172,87,Savings,31800.16,UZS,Closed,10,2022-01-18
173,88,Savings,29027.79,GBP,Active,1,2022-11-29
174,88,Checking,56154.24,EUR,Inactive,8,2022-02-02
175,88,Joint,22796.42,EUR,Active,8,2022-10-11
176,89,Checking,71438.37,USD,Inactive,3,2022-10-03
177,89,Savings,83276.93,EUR,Closed,10,2021-03-04
178,89,Joint,21100.13,USD,Inactive,9,2023-09-10
179,90,Savings,26061.66,USD,Inactive,8,2024-08-20
180,90,Savings,48487.16,EUR,Closed,10,2024-11-26
181,90,Business,45630.21,USD,Active,4,2021-03-24
182,91,Savings,8262.67,GBP,Inactive,4,2020-08-19
183,91,Savings,33743.49,UZS,Inactive,9,2024-05-09
184,91,Joint,54749.18,EUR,Inactive,2,2022-05-16
185,92,Joint,83454.52,GBP,Active,1,2025-05-12
186,92,Checking,22668.89,EUR,Active,8,2022-08-07
187,93,Joint,39065.76,USD,Active,2,2024-10-20
188,93,Savings,49503.86,USD,Active,4,2025-01-27
189,93,Joint,32128.81,USD,Closed,9,2023-05-20
190,94,Joint,52269.34,UZS,Closed,2,2021-01-12
191,94,Business,77089.54,USD,Inactive,1,2021-09-09
192,94,Savings,40328.04,USD,Inactive,10,2023-05-19
193,95,Checking,24423.7,EUR,Closed,10,2023-03-07
194,95,Checking,81682.2,GBP,Inactive,3,2025-05-02
195,96,Business,81857.13,USD,Closed,4,2022-02-13
196,97,Savings,26955.35,GBP,Inactive,1,2021-04-05
197,98,Checking,35061.77,EUR,Active,1,2022-01-19
198,99,Checking,91504.32,USD,Inactive,5,2024-01-06
199,99,Business,88975.21,USD,Closed,7,2020-12-25
200,100,Business,40160.88,GBP,Inactive,6,2021-11-09
201,100,Checking,52627.46,UZS,Closed,8,2024-10-01
202,101,Checking,4729.06,UZS,Inactive,3,2023-02-10
203,101,Joint,88260.23,UZS,Inactive,4,2022-11-29
204,101,Savings,78578.66,UZS,Active,7,2020-10-28
205,102,Business,1880.56,UZS,Active,10,2025-06-11
206,102,Business,68412.47,UZS,Closed,10,2024-02-15
207,103,Checking,25344.32,EUR,Inactive,9,2023-06-01
208,104,Checking,62228.99,UZS,Active,7,2023-03-17
209,104,Business,85692.32,GBP,Inactive,6,2020-12-16
210,104,Joint,40456.62,EUR,Closed,9,2021-06-05
211,105,Savings,96982.0,USD,Inactive,8,2024-04-20
212,105,Checking,89278.38,GBP,Closed,2,2024-05-17
213,105,Business,21275.51,USD,Inactive,6,2023-03-11
214,106,Savings,34081.44,USD,Active,6,2021-08-20
215,106,Joint,10213.16,EUR,Inactive,4,2022-07-07
216,106,Business,5091.84,UZS,Closed,10,2023-01-31
217,107,Business,86700.84,USD,Closed,10,2023-05-28
218,107,Savings,95396.52,GBP,Active,8,2022-04-03
219,107,Joint,29191.46,EUR,Inactive,1,2020-07-23
220,108,Checking,42269.03,USD,Active,5,2024-03-09
221,109,Business,79548.83,EUR,Inactive,2,2020-12-08
222,110,Checking,10246.25,EUR,Active,9,2020-10-16
223,111,Savings,52541.05,UZS,Closed,4,2025-01-21
224,111,Checking,27471.92,USD,Active,10,2021-04-05
225,112,Joint,23794.49,UZS,Active,10,2025-03-20
226,112,Business,66390.85,EUR,Active,9,2023-03-15
227,112,Joint,78063.31,UZS,Closed,4,2021-09-15
228,113,Checking,59555.95,EUR,Inactive,2,2022-08-26
229,113,Checking,49886.53,GBP,Closed,10,2022-11-18
230,114,Business,17564.03,USD,Closed,8,2021-01-23
231,114,Business,98672.11,USD,Closed,1,2020-10-23
232,115,Joint,85018.03,GBP,Active,4,2023-06-21
233,115,Savings,36996.2,UZS,Inactive,9,2023-10-07
234,116,Business,82694.58,UZS,Active,2,2025-04-27
235,116,Business,9131.68,UZS,Inactive,2,2021-04-25
236,116,Business,58455.75,GBP,Closed,5,2024-11-03
237,117,Business,90087.51,USD,Active,4,2024-09-04
238,117,Joint,9269.29,EUR,Inactive,8,2022-08-18
239,118,Joint,62530.1,GBP,Active,8,2020-11-10
240,119,Checking,47323.73,UZS,Closed,10,2023-12-03
241,119,Savings,21020.03,USD,Closed,6,2023-04-23
242,119,Joint,49773.73,GBP,Active,10,2023-08-29
243,120,Checking,15977.68,EUR,Closed,3,2023-06-07
244,120,Joint,77543.85,USD,Closed,6,2024-01-02
245,121,Checking,53798.13,GBP,Inactive,3,2024-07-30
246,121,Joint,52672.2,GBP,Inactive,5,2025-04-25
247,121,Business,44191.78,UZS,Inactive,8,2023-08-12
248,122,Checking,49749.21,GBP,Active,4,2023-06-14
249,123,Checking,70446.46,UZS,Active,10,2024-11-19
250,123,Checking,58495.3,GBP,Active,4,2022-04-26
251,123,Joint,46983.05,EUR,Active,10,2023-03-26
252,124,Business,29126.93,USD,Active,8,2023-12-10
253,124,Business,42664.03,UZS,Inactive,1,2022-10-28
254,124,Joint,75570.48,UZS,Closed,8,2023-12-02
255,125,Business,62184.85,USD,Active,4,2023-02-07
256,125,Checking,21588.96,UZS,Closed,9,2024-10-21
257,126,Joint,22807.32,USD,Active,6,2023-04-14
258,127,Checking,30825.39,GBP,Active,3,2022-04-19
259,128,Business,80673.94,USD,Inactive,3,2021-10-10
260,128,Joint,98424.8,GBP,Closed,8,2021-06-18
261,128,Joint,32373.74,EUR,Active,6,2021-10-27
262,129,Checking,57594.21,GBP,Inactive,6,2024-05-25
263,129,Joint,14295.7,USD,Closed,5,2023-11-16
264,130,Checking,2511.94,GBP,Active,5,2021-03-06
265,130,Savings,66031.51,USD,Inactive,10,2021-10-29
266,131,Savings,98752.12,EUR,Closed,6,2025-06-10
267,132,Business,78659.52,UZS,Active,3,2023-04-07
268,132,Savings,79654.19,UZS,Active,10,2024-04-14
269,133,Business,95605.59,UZS,Closed,10,2023-11-03
270,133,Checking,59393.24,GBP,Closed,6,2021-08-29
271,133,Joint,74633.15,GBP,Inactive,2,2023-05-24
272,134,Savings,44186.42,USD,Inactive,2,2023-03-04
273,134,Joint,93921.53,GBP,Inactive,2,2024-07-01
274,134,Savings,17959.4,GBP,Inactive,1,2023-01-02
275,135,Checking,35406.19,GBP,Inactive,10,2023-02-01
276,136,Business,77733.3,USD,Inactive,3,2021-10-07
277,136,Joint,3662.25,GBP,Inactive,5,2020-10-24
278,137,Checking,707.27,EUR,Closed,9,2023-12-23
279,137,Savings,20586.32,GBP,Inactive,3,2024-12-19
280,138,Joint,78717.91,UZS,Closed,8,2025-03-29
281,139,Joint,29591.38,UZS,Inactive,10,2021-08-14
282,140,Joint,60083.28,GBP,Closed,2,2020-12-12
283,140,Joint,93541.25,USD,Closed,4,2021-01-18
284,141,Business,50775.55,EUR,Inactive,8,2020-07-11
285,141,Checking,76184.07,EUR,Active,5,2023-03-17
286,142,Checking,77848.35,USD,Closed,10,2023-07-08
287,142,Joint,16598.23,GBP,Active,5,2023-06-22
288,143,Business,63013.37,GBP,Closed,7,2022-06-09
289,143,Savings,95754.21,GBP,Closed,5,2024-01-04
290,144,Savings,41610.37,GBP,Closed,10,2024-11-12
291,145,Joint,68745.28,UZS,Closed,3,2025-01-02
292,145,Business,30787.36,GBP,Active,9,2021-04-13
293,146,Business,8513.12,EUR,Inactive,2,2021-01-22
294,147,Business,93917.32,GBP,Closed,1,2021-10-11
295,148,Checking,96414.17,GBP,Closed,4,2024-09-04
296,148,Business,928.52,UZS,Active,6,2024-05-31
297,148,Business,9882.48,EUR,Active,9,2024-12-28
298,149,Savings,93927.07,UZS,Active,3,2023-03-07
299,149,Savings,34616.72,EUR,Closed,4,2021-06-14
300,150,Joint,82133.44,EUR,Inactive,1,2023-07-30
301,150,Business,25098.43,USD,Active,8,2020-06-26
302,150,Business,27624.7,UZS,Active,7,2022-02-20
303,151,Savings,19722.0,USD,Active,2,2025-06-10
304,152,Joint,90584.92,UZS,Active,2,2021-02-26
305,153,Checking,31571.54,EUR,Active,9,2023-04-16
306,153,Checking,70466.04,USD,Inactive,10,2024-06-14
307,153,Checking,50904.4,UZS,Inactive,9,2025-04-05
308,154,Joint,10937.43,USD,Closed,7,2020-07-22
309,154,Savings,34463.47,UZS,Closed,1,2021-08-13
310,155,Business,18258.12,USD,Active,6,2020-08-30
311,156,Savings,75233.19,EUR,Closed,4,2024-09-11
312,156,Business,8946.95,USD,Active,2,2025-02-24
313,156,Business,49985.51,GBP,Inactive,6,2020-12-02
314,157,Savings,77182.87,GBP,Active,9,2022-02-06
315,157,Business,13653.79,UZS,Active,8,2025-04-26
316,158,Checking,35649.57,GBP,Active,6,2021-10-25
317,158,Savings,67617.3,EUR,Closed,2,2020-06-27
318,159,Savings,60741.03,GBP,Inactive,4,2025-01-22
319,160,Business,98977.32,USD,Active,8,2023-09-19
320,160,Savings,1575.4,EUR,Closed,1,2024-09-06
321,160,Joint,13426.55,GBP,Active,1,2022-10-27
322,161,Checking,55990.75,USD,Active,2,2023-05-29
323,162,Savings,19916.22,GBP,Closed,10,2022-12-22
324,163,Joint,52276.7,UZS,Active,8,2022-12-26
325,164,Checking,48573.98,EUR,Active,4,2024-05-07
326,164,Joint,3064.99,GBP,Active,7,2025-01-01
327,164,Checking,38489.68,GBP,Inactive,3,2021-05-24
328,165,Business,91072.85,USD,Inactive,2,2021-04-22
329,165,Business,92702.24,USD,Closed,8,2023-10-19
330,166,Joint,56861.93,GBP,Inactive,8,2023-03-19
331,166,Checking,2700.78,UZS,Active,4,2024-05-14
332,167,Business,43086.32,UZS,Inactive,3,2025-01-07
333,167,Savings,24204.13,GBP,Active,9,2025-01-02
334,168,Joint,89706.61,GBP,Active,10,2025-02-13
335,168,Joint,87052.31,USD,Closed,10,2021-12-06
336,168,Savings,68718.8,EUR,Closed,2,2024-05-20
337,169,Checking,15141.08,UZS,Active,4,2025-02-27
338,169,Business,97439.57,GBP,Inactive,5,2022-07-26
339,169,Checking,68729.73,EUR,Closed,7,2023-06-09
340,170,Checking,83513.57,USD,Closed,3,2024-12-22
341,171,Business,22247.3,EUR,Closed,1,2020-07-29
342,171,Savings,49308.65,EUR,Active,6,2023-02-18
343,172,Joint,44025.78,UZS,Inactive,5,2022-08-15
344,172,Business,54006.15,UZS,Closed,5,2025-05-10
345,173,Savings,36537.86,USD,Inactive,6,2024-08-11
346,174,Joint,78303.28,UZS,Closed,3,2021-08-06
347,174,Checking,1812.56,EUR,Active,3,2020-07-06
348,174,Checking,30239.37,GBP,Closed,5,2022-10-21
349,175,Business,6150.38,EUR,Active,10,2020-08-06
350,176,Business,83390.78,EUR,Inactive,2,2024-07-12
351,176,Joint,25280.43,GBP,Inactive,1,2024-10-25
352,177,Savings,38022.05,GBP,Active,6,2023-10-15
353,177,Savings,83941.81,GBP,Closed,8,2021-04-22
354,178,Joint,95071.5,USD,Active,3,2022-01-04
355,178,Checking,49066.26,USD,Active,2,2023-05-18
356,178,Savings,93274.1,UZS,Closed,2,2021-06-02
357,179,Savings,21640.83,USD,Closed,4,2023-07-01
358,179,Business,30830.46,EUR,Inactive,3,2020-12-14
359,180,Business,97117.07,USD,Active,8,2020-12-12
360,181,Joint,4641.19,USD,Active,9,2022-09-04
361,181,Savings,24122.1,EUR,Active,4,2023-02-05
362,182,Savings,12540.18,USD,Active,8,2024-11-12
363,182,Checking,89241.57,USD,Closed,6,2022-12-22
364,183,Joint,64783.84,GBP,Closed,4,2023-03-29
365,183,Checking,6696.94,GBP,Inactive,7,2024-02-22
366,183,Checking,28846.98,UZS,Closed,5,2022-12-18
367,184,Checking,81517.52,EUR,Active,8,2022-10-31
368,185,Savings,83567.22,UZS,Active,8,2024-01-13
369,186,Business,45107.97,GBP,Active,5,2021-02-10
370,187,Business,20231.79,UZS,Inactive,9,2024-02-10
371,187,Savings,95410.17,USD,Inactive,7,2023-11-18
372,187,Savings,77181.61,UZS,Inactive,7,2023-02-21
373,188,Joint,40870.01,GBP,Inactive,2,2022-11-25
374,188,Checking,91504.15,GBP,Closed,1,2023-09-10
375,189,Checking,39998.38,UZS,Active,6,2024-12-05
376,189,Savings,3007.69,EUR,Inactive,4,2024-05-12
377,190,Checking,84597.18,EUR,Closed,10,2021-08-18
378,191,Checking,34662.3,UZS,Inactive,2,2021-09-30
379,191,Joint,87535.22,EUR,Inactive,10,2021-07-12
380,191,Savings,35919.01,EUR,Closed,8,2020-08-26
381,192,Savings,74.7,EUR,Closed,10,2021-08-16
382,192,Checking,71354.81,GBP,Closed,8,2022-12-21
383,193,Checking,36754.8,UZS,Closed,7,2024-03-05
384,194,Business,91426.61,UZS,Inactive,8,2025-01-16
385,194,Savings,73860.57,USD,Active,5,2022-07-30
386,194,Joint,52338.72,GBP,Active,1,2023-05-16
387,195,Savings,67919.08,UZS,Inactive,4,2021-05-16
388,195,Business,53582.18,USD,Closed,1,2020-06-23
389,196,Joint,91683.98,GBP,Closed,5,2023-05-25
390,197,Savings,90165.26,UZS,Active,2,2025-04-09
391,197,Checking,53159.21,UZS,Active,3,2021-02-05
392,198,Joint,76756.13,UZS,Active,2,2023-10-18
393,198,Checking,87165.03,USD,Active,7,2024-05-01
394,199,Joint,17434.53,GBP,Active,9,2023-10-31
395,199,Checking,30901.97,EUR,Active,7,2020-12-29
396,200,Business,26806.94,GBP,Closed,6,2022-02-06
397,200,Savings,72038.08,UZS,Inactive,4,2020-08-21
398,200,Joint,67742.08,UZS,Active,1,2024-03-26
399,201,Joint,69380.41,USD,Active,2,2020-08-24
400,201,Business,99405.54,USD,Closed,5,2024-08-06
401,201,Joint,5255.06,USD,Closed,10,2022-08-09
402,202,Checking,53463.16,UZS,Active,3,2024-07-27
403,202,Joint,6959.52,GBP,Closed,2,2023-05-11
404,203,Checking,51883.25,USD,Inactive,4,2023-05-21
405,203,Checking,73094.96,UZS,Closed,3,2024-11-12
406,203,Savings,69697.75,UZS,Inactive,7,2022-07-27
407,204,Checking,56205.03,GBP,Active,4,2021-02-27
408,205,Joint,1260.1,USD,Inactive,4,2020-10-22
409,205,Joint,18793.53,USD,Active,2,2023-12-28
410,206,Checking,94521.93,USD,Active,6,2022-02-11
411,206,Checking,56634.8,USD,Inactive,1,2022-02-04
412,207,Savings,13757.01,USD,Inactive,6,2025-02-22
413,208,Checking,69274.24,UZS,Active,7,2022-06-11
414,209,Business,65129.58,UZS,Closed,9,2020-10-26
415,209,Savings,90505.96,EUR,Active,7,2022-01-23
416,210,Checking,59726.25,USD,Closed,4,2025-01-03
417,210,Checking,29263.67,GBP,Inactive,7,2023-10-09
418,211,Savings,39280.75,UZS,Active,7,2025-03-06
419,212,Savings,11291.55,USD,Inactive,1,2023-08-15
420,213,Joint,94337.52,EUR,Inactive,2,2024-01-18
421,214,Savings,96820.59,EUR,Active,4,2022-02-11
422,215,Savings,9475.34,EUR,Closed,4,2024-09-28
423,216,Business,53876.22,UZS,Closed,10,2023-01-25
424,216,Savings,43490.41,GBP,Closed,8,2025-02-16
425,217,Business,82320.12,USD,Active,4,2022-11-28
426,217,Joint,39736.46,EUR,Closed,8,2024-08-29
427,218,Savings,41673.66,UZS,Active,1,2020-07-21
428,218,Joint,32253.55,USD,Closed,4,2020-12-15
429,219,Business,91135.89,UZS,Inactive,3,2021-12-28
430,219,Checking,76606.09,EUR,Inactive,2,2025-06-18
431,219,Joint,76999.38,EUR,Closed,5,2023-03-20
432,220,Checking,58764.69,UZS,Inactive,9,2021-02-03
433,221,Joint,97073.37,GBP,Active,6,2023-03-30
434,221,Savings,24731.23,UZS,Active,1,2022-05-06
435,222,Savings,37475.84,UZS,Closed,1,2024-02-20
436,222,Savings,99055.64,UZS,Active,8,2021-04-03
437,223,Business,84275.47,USD,Closed,3,2022-02-04
438,223,Savings,98439.65,EUR,Closed,1,2023-05-15
439,224,Business,68870.09,USD,Active,3,2022-07-06
440,225,Checking,83187.9,UZS,Active,5,2024-04-22
441,225,Joint,65327.67,UZS,Active,9,2023-07-26
442,225,Savings,29458.78,UZS,Active,7,2022-02-05
443,226,Business,25540.15,USD,Closed,3,2021-07-23
444,226,Business,23045.1,UZS,Active,4,2023-08-19
445,227,Checking,56092.01,USD,Inactive,6,2024-08-06
446,227,Savings,80491.63,UZS,Active,1,2022-06-13
447,228,Savings,2682.51,USD,Inactive,5,2024-08-11
448,228,Business,42616.81,GBP,Active,10,2022-11-22
449,229,Savings,59399.7,GBP,Inactive,6,2023-12-23
450,229,Business,57050.82,USD,Inactive,7,2021-09-22
451,229,Savings,99553.71,USD,Inactive,8,2022-02-06
452,230,Checking,39066.44,EUR,Closed,7,2022-03-14
453,230,Checking,13791.7,USD,Active,4,2023-01-27
454,231,Business,79154.78,GBP,Inactive,9,2022-04-24
455,231,Savings,34201.65,UZS,Inactive,9,2024-01-21
456,232,Savings,28205.46,GBP,Active,4,2025-02-14
457,232,Savings,24032.29,EUR,Active,7,2022-01-07
458,233,Checking,95082.35,UZS,Closed,2,2024-05-22
459,234,Joint,66480.36,GBP,Active,8,2024-07-31
460,234,Savings,1444.1,EUR,Inactive,8,2022-04-02
461,234,Checking,21207.86,UZS,Active,3,2025-04-22
462,235,Joint,21284.39,EUR,Active,6,2021-10-19
463,236,Savings,15540.55,USD,Closed,8,2022-01-04
464,236,Checking,42436.5,EUR,Inactive,9,2020-09-09
465,237,Business,10596.82,UZS,Closed,10,2021-03-22
466,238,Joint,34995.7,USD,Active,2,2023-05-18
467,239,Joint,12368.27,UZS,Active,3,2024-09-08
468,240,Business,53111.07,USD,Closed,3,2025-02-26
469,240,Business,41329.72,EUR,Closed,3,2021-11-02
470,241,Business,30551.16,EUR,Active,5,2021-05-23
471,242,Savings,51908.55,USD,Closed,1,2023-07-09
472,242,Checking,18493.64,GBP,Active,3,2023-09-06
473,243,Joint,44252.4,GBP,Inactive,9,2020-07-08
