FraudID,CustomerID,TransactionID,RiskLevel,ReportedDate
96,775,1327,Low,2/11/2025
97,243,140,Low,5/21/2025
98,152,2035,Low,4/18/2025
99,140,1886,Medium,2/12/2025
100,760,246,Medium,5/10/2025
101,863,1719,High,6/6/2025
102,482,2839,Medium,6/10/2025
103,711,2307,Low,4/6/2025
104,877,2202,High,6/4/2025
105,40,1308,Low,4/15/2025
106,259,1468,Low,4/2/2025
107,892,2270,Medium,3/7/2025
108,665,2435,High,6/15/2025
109,11,480,Medium,3/29/2025
110,529,289,Low,3/20/2025
111,780,154,Medium,5/31/2025
112,351,27,Low,3/18/2025
113,26,1649,High,2/6/2025
114,880,2531,High,5/10/2025
115,83,1426,Medium,4/5/2025
116,543,1419,High,3/15/2025
117,225,2398,High,4/17/2025
118,161,589,Medium,1/3/2025
119,263,1306,Medium,6/2/2025
120,967,1787,Medium,3/21/2025
121,188,869,Low,6/20/2025
122,131,393,Medium,3/11/2025
123,761,2196,High,1/5/2025
124,317,1146,Low,1/30/2025
125,195,2548,High,3/15/2025
126,589,1531,High,6/3/2025
127,88,1832,Medium,4/18/2025
128,578,2457,Low,6/20/2025
129,214,213,Low,5/15/2025
130,565,325,Medium,3/16/2025
131,445,2392,Medium,2/6/2025
132,602,171,Medium,3/25/2025
133,14,1431,High,6/8/2025
134,676,2760,Medium,2/7/2025
135,613,1513,High,2/6/2025
136,67,54,Medium,3/15/2025
137,842,855,Medium,6/5/2025
138,926,459,High,5/22/2025
139,805,261,Low,4/13/2025
140,532,1986,Medium,2/16/2025
141,43,2888,High,2/11/2025
142,664,464,Low,4/1/2025
143,465,782,Low,5/25/2025
144,704,1540,High,1/27/2025
145,814,2463,Low,3/17/2025
146,853,2173,Low,1/23/2025
147,71,1129,Medium,4/21/2025
148,136,2234,Medium,4/2/2025
149,911,2128,High,4/12/2025
150,617,2378,High,1/26/2025
151,407,553,High,1/2/2025
152,591,961,Low,1/25/2025
153,800,2629,Low,1/7/2025
154,566,1176,Low,6/16/2025
155,370,592,Low,2/17/2025
156,515,1472,Low,1/6/2025
157,329,1571,Low,6/4/2025
158,574,778,High,5/3/2025
159,110,2339,Low,3/29/2025
160,154,2674,Medium,3/22/2025
161,55,1076,High,2/19/2025
162,748,2238,Medium,3/11/2025
163,763,2164,High,6/15/2025
164,432,1336,Medium,2/12/2025
165,628,2260,Low,5/25/2025
166,562,1114,Medium,5/21/2025
167,985,64,High,6/2/2025
168,895,991,High,2/6/2025
169,967,1753,Medium,1/30/2025
170,316,1881,Low,4/2/2025
171,638,765,Medium,4/18/2025
172,657,211,High,1/19/2025
173,976,1527,Medium,4/21/2025
174,523,1874,Medium,1/22/2025
175,543,1934,Low,6/6/2025
176,345,1635,Medium,3/22/2025
177,157,922,Low,3/7/2025
178,879,2977,Low,2/9/2025
179,854,1522,Medium,4/11/2025
180,7,2394,High,3/15/2025
181,317,1115,High,3/3/2025
182,401,443,Medium,2/6/2025
183,11,399,Low,4/16/2025
184,861,2756,High,4/7/2025
185,227,1371,Low,5/15/2025
186,428,1617,High,5/22/2025
187,384,1541,Medium,4/28/2025
188,857,227,Medium,2/5/2025
189,30,1430,High,3/10/2025
190,22,2095,Medium,1/15/2025
191,660,1527,High,5/5/2025
192,469,1754,Medium,2/27/2025
193,497,2203,High,3/19/2025
194,218,1951,High,5/23/2025
195,717,1019,High,3/24/2025
196,99,2466,Medium,2/16/2025
197,500,1092,Low,3/2/2025
198,473,623,High,6/19/2025
199,864,2432,Low,3/6/2025
